OBJECTID,Type,STYLE,MeterNumber,RatePerHour,MaxTime,MapSymbol,Description,InfrastructureID,LifecycleStatus,Condition,HoursInEffect,Length_m,Width_m,AccessAisle,AccessAisleWidth_m,LoadingSide,DistanceToNearestLetdown_m,CrossSlope_percent,MeetsSDC16,NewSignageInstalled,CurbPainted,Location,CivicAddress,Comments,Owner,OwnerNotes,Custodian,CustodianNotes,geometry,Latitude,Longitude
2213,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002227,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33475053174266 48.447470401886896),48.4504861947635,-123.33653024228188
2330,metered,ELECTRIC VEHICLE,2915.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000337,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36599714521391 48.42748423601881),48.43129838528023,-123.37045557562598
19,non-metered,ELECTRIC VEHICLE,,Regular parking fees apply.,,ELECTRIC VEHICLE,"Ver Network AAA-272 View Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002216,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.3638054044696 48.42511956618813),48.42830227643045,-123.36867932627234
197,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002223,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33506163541432 48.44690464482426),48.44401802176431,-123.33455238462508
430,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002225,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33499999346992 48.44683484227543),48.443733781210746,-123.33522153168295
529,metered,ELECTRIC VEHICLE,2518.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000511,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36636785301413 48.425932381530174),48.421941909956985,-123.36320120944585
778,metered,ELECTRIC VEHICLE,4001.0,$3.00,40 MIN,ELECTRIC VEHICLE,"$3.00/HR 40 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000629,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36964991148943 48.42796548598136),48.42850923297176,-123.37462355658569
897,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002221,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33512756626244 48.44697372052767),48.44658617310699,-123.33957025263258
911,metered,ELECTRIC VEHICLE,2760.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR 90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000594,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36616827797128 48.426593037050914),48.42449337012206,-123.36299877520605
964,non-metered,ELECTRIC VEHICLE,,Regular parking fees apply.,,ELECTRIC VEHICLE,"Ver Network AAA-314 View Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002217,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36383062854003 48.425124276197295),48.42711821910008,-123.36004985202348
1160,non-metered,ELECTRIC VEHICLE,,$1.00,,ELECTRIC VEHICLE,"Ver Network AAA-266 Broughton Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002219,ACT,,,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36423665391007 48.42352540742386),48.42721301953862,-123.36415863813318
