OBJECTID,Statistical Areas Level 2 2021 code,Statistical Areas Level 2 2021 name,Area in square kilometres,Uniform Resource Identifier,The base year for projected persons (2022),Projected persons (2023),Projected persons (2024),Projected persons (2025),Projected persons (2026),Projected persons (2027),Projected persons (2028),Projected persons (2029),Projected persons (2030),Projected persons (2031),Projected persons (2032),The base year for annual population change (2022),Annual population change (2023),Annual population change (2024),Annual population change (2025),Annual population change (2026),Annual population change (2027),Annual population change (2028),Annual population change (2029),Annual population change (2030),Annual population change (2031),Annual population change (2032),The base year for population change (2022),Relative population change (2023),Relative population change (2024),Relative population change (2025),Relative population change (2026),Relative population change (2027),Relative population change (2028),Relative population change (2029),Relative population change (2030),Relative population change (2031),Relative population change (2032),The base year for percentage annual population change (2022),Percentage annual population change (2023),Percentage annual population change (2024),Percentage annual population change (2025),Percentage annual population change (2026),Percentage annual population change (2027),Percentage annual population change (2028),Percentage annual population change (2029),Percentage annual population change (2030),Percentage annual population change (2031),Percentage annual population change (2032),The base year for percentage relative population change (2022),Percentage relative population change (2023),Percentage relative population change (2024),Percentage relative population change (2025),Percentage relative population change (2026),Percentage relative population change (2027),Percentage relative population change (2028),Percentage relative population change (2029),Percentage relative population change (2030),Percentage relative population change (2031),Percentage relative population change (2032),globalid,Shape__Area,Shape__Length
2152,511041287,Geraldton - North,143.0266,https://linked.data.gov.au/dataset/asgsed3/SA2/511041287,9163,9298,9420,9552,9691,9832,9981,10137,10301,10468,10640,0,135,122,132,139,141,149,156,164,167,172,0,135,257,389,528,669,818,974,1138,1305,1477,0,1.473317,1.31211,1.401274,1.455193,1.454958,1.51546,1.56297,1.617836,1.621202,1.643103,0,1.473317,2.804758,4.245334,5.762305,7.301102,8.927207,10.629706,12.419513,14.24206,16.119175,90a6cef6-4334-412d-9477-e66b4098f181,0.0132014454761702,0.756889285480119
2153,511041288,Geraldton - South,26.2854,https://linked.data.gov.au/dataset/asgsed3/SA2/511041288,10863,10983,11100,11228,11367,11518,11674,11839,12007,12183,12364,0,120,117,128,139,151,156,165,168,176,181,0,120,237,365,504,655,811,976,1144,1320,1501,0,1.104667,1.065283,1.153153,1.237976,1.328407,1.354402,1.413397,1.419039,1.465812,1.485677,0,1.104667,2.181718,3.360029,4.639602,6.029642,7.465709,8.984627,10.531161,12.151339,13.817546,6ed352b5-58f4-4dd6-ba3f-a11bb164eac5,0.0024304731043685,0.340777027918335
2154,511041289,Irwin,2369.3298,https://linked.data.gov.au/dataset/asgsed3/SA2/511041289,3794,3809,3820,3833,3846,3863,3881,3900,3917,3938,3961,0,15,11,13,13,17,18,19,17,21,23,0,15,26,39,52,69,87,106,123,144,167,0,0.395361,0.28879,0.340314,0.33916,0.442018,0.465959,0.489565,0.435897,0.536125,0.584053,0,0.395361,0.685293,1.027939,1.370585,1.818661,2.293094,2.793885,3.241961,3.795467,4.401687,77a70293-f930-4171-91e9-a852244bb496,0.220072886883145,2.26514741269488
2155,511041290,Meekatharra,414527.0473,https://linked.data.gov.au/dataset/asgsed3/SA2/511041290,3388,3418,3448,3483,3524,3568,3616,3669,3725,3783,3845,0,30,30,35,41,44,48,53,56,58,62,0,30,60,95,136,180,228,281,337,395,457,0,0.885478,0.877706,1.015081,1.177146,1.248581,1.345291,1.465708,1.526301,1.557047,1.638911,0,0.885478,1.770956,2.804014,4.014168,5.312869,6.729634,8.293979,9.946871,11.658796,13.488784,98eddad6-d65e-443a-9347-7004db243df2,37.4046085254215,37.6440514614396
2156,511041291,Morawa,23464.3302,https://linked.data.gov.au/dataset/asgsed3/SA2/511041291,3993,3990,3979,3973,3974,3979,3991,4001,4017,4037,4059,0,-3,-11,-6,1,5,12,10,16,20,22,0,-3,-14,-20,-19,-14,-2,8,24,44,66,0,-0.075131,-0.275689,-0.150792,0.02517,0.125818,0.301583,0.250564,0.3999,0.497884,0.544959,0,-0.075131,-0.350614,-0.500877,-0.475833,-0.350614,-0.050088,0.200351,0.601052,1.101928,1.652893,912dbb7d-2413-48e4-a705-c399c45a2a7a,2.18351810349486,8.91082398416057
2157,511041292,Northampton - Mullewa - Greenough,26161.8873,https://linked.data.gov.au/dataset/asgsed3/SA2/511041292,5824,5803,5773,5752,5732,5716,5708,5704,5701,5702,5708,0,-21,-30,-21,-20,-16,-8,-4,-3,1,6,0,-21,-51,-72,-92,-108,-116,-120,-123,-122,-116,0,-0.360577,-0.516974,-0.363762,-0.347705,-0.279135,-0.139958,-0.070077,-0.052595,0.017541,0.105226,0,-0.360577,-0.875687,-1.236264,-1.57967,-1.854396,-1.991758,-2.06044,-2.111951,-2.09478,-1.991758,12075fbe-a550-437c-8f62-595912ca51f9,2.40316709034437,11.2561572022727
2158,597979799,Migratory - Offshore - Shipping (WA),,https://linked.data.gov.au/dataset/asgsed3/SA2/597979799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,da9257cc-b2b5-416a-b4c3-5f51c2e56951,,
2159,599999499,No usual address (WA),,https://linked.data.gov.au/dataset/asgsed3/SA2/599999499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16530e68-d403-4c7b-9da0-3e8393c5e3e5,,
2160,601011001,Bridgewater - Gagebrook,55.7463,https://linked.data.gov.au/dataset/asgsed3/SA2/601011001,8431,8582,8737,8896,9057,9221,9385,9549,9712,9871,10033,0,151,155,159,161,164,164,164,163,159,162,0,151,306,465,626,790,954,1118,1281,1440,1602,0,1.791009,1.806106,1.819847,1.809802,1.810754,1.778549,1.747469,1.706985,1.63715,1.641171,0,1.791009,3.629463,5.51536,7.424979,9.370181,11.315384,13.260586,15.193927,17.079824,19.001305,8b628428-b740-44d8-b656-c52782b9ea25,0.00612727765701493,0.736862632070873
2161,601011002,Brighton - Pontville,88.7598,https://linked.data.gov.au/dataset/asgsed3/SA2/601011002,6756,6950,7146,7345,7551,7768,7982,8191,8400,8608,8812,0,194,196,199,206,217,214,209,209,208,204,0,194,390,589,795,1012,1226,1435,1644,1852,2056,0,2.871522,2.820144,2.784775,2.804629,2.873792,2.754892,2.618391,2.551581,2.47619,2.369888,0,2.871522,5.772647,8.718176,11.767318,14.979278,18.146832,21.240379,24.333925,27.41267,30.432208,4af00f30-03c8-4edb-ae10-b11f6fe7f7fe,0.0097518178295104,0.593014611141019
2162,601011003,Old Beach - Otago,31.5716,https://linked.data.gov.au/dataset/asgsed3/SA2/601011003,5117,5206,5292,5375,5452,5528,5600,5670,5736,5797,5852,0,89,86,83,77,76,72,70,66,61,55,0,89,175,258,335,411,483,553,619,680,735,0,1.7393,1.65194,1.568405,1.432558,1.393984,1.30246,1.25,1.164021,1.063459,0.948767,0,1.7393,3.419973,5.042017,6.546805,8.03205,9.439124,10.807114,12.096932,13.289037,14.363885,a5e1c7e1-eb3b-423b-a056-744b11380d13,0.00347238818449114,0.363702495440935
