"ModelReleaseYear","Make","ModelReleaseVersion","Model","Variant","EngineDisplacement","EngineConfiguration","EngineInduction","FwdGearsNo","TransmissionTypeDescription","SideDoorNo","SeatingCapacity","BodyStyle","DrivingWheelsNo","FuelType","CO2EmissionsCombined","CO2EmissionsUrban","CO2EmissionsExtraUrban","FuelConsumptionCombined","FuelConsumptionUrban","FuelConsumptionExtraUrban","EnergyConsumptionWhkm","ElectricRangeKm","AirPollutionStandard","StationaryNoiseData","TestSpeed","IsCurrentModel","ModelEndYear","FuelLifeCycleCO2","AnnualTailpipeCO2","AnnualFuelCost"
"2017","Renault","XZG","Koleos","","2","4cyl","Turbo","7","CVT","4","5","SUV","2","Diesel","147","158","141","5.6","6.1","5.4","","","Euro 5","75","2813","Yes","0","162","2.06","1254"
"2017","BMW","G30","5 Series","530d xDrive","3","6cyl","Turbo","8","Auto","4","5","Sedan","2","Diesel","147","172","132","5.6","6.6","5","","","Euro 5","74","3000","Yes","0","162","2.06","1254"
"2016","Ford","ZG","Escape","Titanium","2","4cyl","Turbo","6","Auto","4","5","SUV","4","Diesel","147","172","133","5.6","6.6","5.1","","","Euro 5","72","2625","Yes","0","162","2.06","1254"
"2017","BMW","G01","X3","xDrive20d","2","4cyl","Turbo","8","Auto","4","5","Wagon","4","Diesel","149","155","146","5.7","5.9","5.6","","","Euro 6","75","3000","Yes","0","164","2.09","1277"
"2013","BMW","F06","6 Series","640d Gran Coupe","3.0","6cyl","Turbo","8","Auto","4","5","Sedan","2","Diesel","149","181","130","5.7","6.9","4.9","","","Euro 5","85.00","3750","Yes","0","164","2.09","1277"
"2013","MINI","R61","Cooper D FWD","Paceman","2.0","4cyl","Normal","6","Auto","2","4","Coupe","2","Diesel","149","191","125","5.6","7.2","4.7","","","Euro 5","80.00","3000","No","2025","162","2.09","1254"
"2017","Land Rover","L560 23MY","LY","Velar 204DTY 150kW","2","4cyl","Turbo","8","Auto","4","5","Wagon","4","Diesel","150","169","139","5.7","6.4","5.3","","","Euro 6","75","3000","No","2025","164","2.1","1277"
"2018","Mazda","","CX-8","FWD","2.2","4cyl","Turbo","6","Auto","4","7","SUV","2","Diesel","150","172","137","5.7","6.6","5.2","","","Euro 5","76","3375","Yes","0","164","2.1","1277"
"2014","Land Rover","L550 24MY","LC","D165 AWD Auto 5 seats","2","4cyl","Turbo","9","Auto","4","5","Wagon","4","Diesel","151","170","140","5.7","6.5","5.3","","","Euro 6","77","3000","Yes","0","164","2.11","1277"
"2014","Land Rover","L550 24MY","LC","D165 AWD Auto 7 seats","2","4cyl","Turbo","9","Auto","4","5","Wagon","4","Diesel","151","170","140","5.7","6.5","5.3","","","Euro 6","77","3000","Yes","0","164","2.11","1277"
"2014","Land Rover","L550 24MY","LC","D200 AWD Auto 5 seats","2","4cyl","Turbo","9","Auto","4","5","Wagon","4","Diesel","151","170","140","5.7","6.5","5.3","","","Euro 6","77","3000","Yes","0","164","2.11","1277"
"2014","Land Rover","L550 24MY","LC","D200 AWD Auto 7 seats","2","4cyl","Turbo","9","Auto","4","5","Wagon","4","Diesel","151","170","140","5.7","6.5","5.3","","","Euro 6","77","3000","Yes","0","164","2.11","1277"
"2014","Land Rover","L550 23MY","LC","D165 AWD Auto 5 seats","2","4cyl","Turbo","9","Auto","4","5","Wagon","4","Diesel","151","170","140","5.7","6.5","5.3","","","Euro 6","77","3000","Yes","0","164","2.11","1277"
"2014","Land Rover","L550 23MY","LC","D165 AWD Auto 7 seats","2","4cyl","Turbo","9","Auto","4","7","Wagon","4","Diesel","151","170","140","5.7","6.5","5.3","","","Euro 6","77","3000","Yes","0","164","2.11","1277"
"2014","Land Rover","L550 23MY","LC","D200 AWD Auto 5 seats","2","4cyl","Turbo","9","Auto","4","5","Wagon","4","Diesel","151","170","140","5.7","6.5","5.3","","","Euro 6","77","3000","Yes","0","164","2.11","1277"
"2014","Land Rover","L550 23MY","LC","D200 AWD Auto 7 seats","2","4cyl","Turbo","9","Auto","4","7","Wagon","4","Diesel","151","170","140","5.7","6.5","5.3","","","Euro 6","77","3000","Yes","0","164","2.11","1277"
"2024","Ssangyong","C300 24MY","Korando","D16DT 2WD AT","1.6","4cyl","Turbo","6","Auto","4","5","Wagon","2","Diesel","151","177","137","5.7","6.7","5.2","","","Euro 5","73","3000","Yes","0","164","2.11","1277"
"2022","Ssangyong","C300 23MY","Korando","D16DT 2WD AT","1.6","4cyl","Turbo","6","Auto","4","5","Wagon","2","Diesel","151","177","137","5.7","6.7","5.2","","","Euro 5","73","3000","Yes","0","164","2.11","1277"
"2021","Ssangyong","C300 22MY","Korando","D16DT 2WD AT","1.6","4cyl","Turbo","6","Auto","4","5","Wagon","2","Diesel","151","177","137","5.7","6.7","5.2","","","Euro 5","73","3000","Yes","0","164","2.11","1277"
"2020","Ssangyong","C300 21MY","Korando","D16DT 2WD AT","1.6","4cyl","Turbo","6","Auto","4","5","Wagon","2","Diesel","151","177","137","5.7","6.7","5.2","","","Euro 5","73","3000","Yes","0","164","2.11","1277"
"2019","Ssangyong","C300 20MY","Korando","D16DT 2WD AT","1.6","4cyl","Turbo","6","Auto","4","5","Wagon","2","Diesel","151","177","137","5.7","6.7","5.2","","","Euro 5","73","3000","Yes","0","164","2.11","1277"
"2021","BMW","X3 Series - G01","X3","xDrive20d","2","4cyl","Turbo","8","Auto","4","5","Wagon","4","Diesel","153","166","147","5.9","6.3","5.6","","","Euro 6","72","3000","Yes","0","170","2.14","1322"
"2015","Audi","","Q7","3.0 TDI quattro Tiptronic","3.0","6cyl","Turbo","8","Auto","4","7","Wagon","4","Diesel","153","167","147","5.9","6.4","5.6","","","Euro 6","70.00","2375","Yes","0","170","2.14","1322"
"2018","Audi","","A7","50 TDI quattro Tiptronic 19 Inch Wheel","3","6cyl","Turbo","8","Auto","4","5","Sedan","4","Diesel","153","176","140","5.9","6.8","5.4","","","Euro 6","69","2375","Yes","0","170","2.14","1322"
"2018","Audi","","A8","50 TDI quattro 19" Wheel","3","6cyl","Turbo","8","Auto","4","5","Sedan","4","Diesel","154","171","144","5.9","6.6","5.5","","","Euro 6","68","2375","Yes","0","170","2.16","1322"
"2018","Audi","","A8L","50 TDI quattro 19" Wheel","3","6cyl","Turbo","8","Auto","4","5","Sedan","4","Diesel","155","172","145","6","6.6","5.6","","","Euro 6","68","2375","Yes","0","173","2.17","1344"
"2016","Audi","","Q7","3.0 TDI quattro Tiptronic 18/19/20 Inch Wheel","3","6cyl","Turbo","8","Auto","4","7","SUV","4","Diesel","156","170","150","6","6.5","5.7","","","Euro 6","70","2375","Yes","0","173","2.18","1344"
"2018","Audi","","A8","50 TDI quattro 20" Wheel","3","6cyl","Turbo","8","Auto","4","5","Sedan","4","Diesel","156","172","147","6","6.6","5.6","","","Euro 6","68","2375","Yes","0","173","2.18","1344"
"2018","Audi","","A7","50 TDI quattro Tiptronic 20 Inch Wheel","3","6cyl","Turbo","8","Auto","4","5","Sedan","4","Diesel","156","179","142","6","6.9","5.5","","","Euro 6","69","2375","Yes","0","173","2.18","1344"
"2022","Peugeot","","Expert","EXPERT CITY SHORT 2.0 HDI MT6","2","4cyl","Turbo","6","Manual","4","3","Van","2","Diesel","156","183","140","6","7","5.4","","","Euro 5","84","3000","Yes","0","173","2.18","1344"
"2022","Peugeot","","Expert","EXPERT PRO LONG 2.0 HDI MT6","2","4cyl","Turbo","6","Manual","4","3","Van","2","Diesel","156","183","140","6","7","5.4","","","Euro 5","84","3000","Yes","0","173","2.18","1344"
"2018","Audi","","A8L","50 TDI quattro 20" Wheel","3","6cyl","Turbo","8","Auto","4","5","Sedan","4","Diesel","157","173","148","6","6.6","5.7","","","Euro 6","68","2375","Yes","0","173","2.2","1344"
"2018","Audi","","A7","50 TDI quattro Tiptronic 21 Inch Wheel","3","6cyl","Turbo","8","Auto","4","5","Sedan","4","Diesel","157","178","145","6","6.8","5.6","","","Euro 6","69","2375","Yes","0","173","2.2","1344"
"2017","Audi","","A6 Allroad","3.0 TDI quattro S-Tronic","3","6cyl","Turbo","7","Auto","4","5","Wagon","4","Diesel","158","172","149","6.1","6.6","5.7","","","Euro 6","70","2350","Yes","0","176","2.21","1366"
"2018","Mazda","","CX-8","AWD","2.2","4cyl","Turbo","6","Auto","4","7","SUV","4","Diesel","158","182","144","6","6.9","5.5","","","Euro 5","76","3375","Yes","0","173","2.21","1344"
"2017","Mazda","","CX-5","","2.2","4cyl","Turbo","6","Auto","4","5","SUV","4","Diesel","158","183","144","6","7","5.5","","","Euro 5","75","3375","Yes","0","173","2.21","1344"
"2024","Kia","2024","Sorento","S","2.2","4cyl","Turbo","8","Other","4","7","Wagon","4","Diesel","158","197","136","6","7.5","5.2","","","Euro 5","77","2850","Yes","0","173","2.21","1344"
"2024","Kia","2024","Sorento","Sport","2.2","4cyl","Turbo","8","Other","4","7","Wagon","4","Diesel","158","197","136","6","7.5","5.2","","","Euro 5","77","2850","Yes","0","173","2.21","1344"
"2024","Kia","2024","Sorento","Sport +","2.2","4cyl","Turbo","8","Other","4","7","Wagon","4","Diesel","158","197","136","6","7.5","5.2","","","Euro 5","77","2850","Yes","0","173","2.21","1344"
"2024","Kia","2024","Sorento","GT-Line","2.2","4cyl","Turbo","8","Other","4","7","Wagon","4","Diesel","158","197","136","6","7.5","5.2","","","Euro 5","77","2850","Yes","0","173","2.21","1344"
"2013","MINI","R61","Cooper D AWD","Paceman","2.0","4cyl","Normal","6","Auto","2","4","Coupe","2","Diesel","158","202","133","6","7.6","5","","","Euro 5","80.00","3000","No","2025","173","2.21","1344"
"2017","Renault","XZG","Koleos","","2","4cyl","Normal","7","CVT","4","5","SUV","4","Diesel","159","170","153","6.1","6.5","5.9","","","Euro 5","75","2813","Yes","0","176","2.23","1366"
"2017","BMW","G01","X3","xDrive30d","3","6cyl","Turbo","8","Auto","4","5","Wagon","4","Diesel","159","179","148","6","6.8","5.6","","","Euro 5","78","3000","Yes","0","173","2.23","1344"
"2020","Kia","2021","Sorento","S","2.2","4cyl","Turbo","8","Other","4","7","Wagon","4","Diesel","159","193","140","6.1","7.4","5.3","","","Euro 5","77","2850","Yes","0","176","2.23","1366"
"2020","Kia","2021","Sorento","Sport","2.2","4cyl","Turbo","8","Other","4","7","Wagon","4","Diesel","159","193","140","6.1","7.4","5.3","","","Euro 5","77","2850","Yes","0","176","2.23","1366"
"2020","Kia","2021","Sorento","Sport+","2.2","4cyl","Turbo","8","Other","4","7","Wagon","4","Diesel","159","193","140","6.1","7.4","5.3","","","Euro 5","77","2850","Yes","0","176","2.23","1366"
"2020","Kia","2021","Sorento","GT-Line","2.2","4cyl","Turbo","8","Other","4","7","Wagon","4","Diesel","159","193","140","6.1","7.4","5.3","","","Euro 5","77","2850","Yes","0","176","2.23","1366"
"2017","Audi","","Q5","3.0 TDI quattro Tiptronic 19 Inch Wheel","3","6cyl","Turbo","8","Auto","4","5","SUV","4","Diesel","160","184","146","6.1","7","5.6","","","Euro 6","70","2350","Yes","0","176","2.24","1366"
"2013","MINI","R61","Cooper SD AWD","Paceman","2.0","4cyl","Normal","6","Auto","2","4","Coupe","2","Diesel","160","204","134","6.1","7.7","5.1","","","Euro 5","79.00","3000","No","2025","176","2.24","1366"
"2016","Audi","","Q7","3.0 TDI quattro Tiptronic 160kW 21 Inch Wheel ","3","6cyl","Turbo","8","Auto","4","7","SUV","4","Diesel","161","175","155","6.2","6.6","5.9","","","Euro 6","68","2375","Yes","0","179","2.25","1389"
"2018","Mercedes-Benz","447N","Vito","116 SWB Van","2.1","4cyl","Turbo","7","Auto","4","3","Van","2","Diesel","161","189","148","6.1","7.2","5.6","","","Euro 6","79","2850","Yes","0","176","2.25","1366"
"2018","Mercedes-Benz","447N","Vito","119 SWB Van","2.1","4cyl","Turbo","7","Auto","4","3","Van","2","Diesel","161","189","148","6.1","7.2","5.6","","","Euro 6","79","2850","Yes","0","176","2.25","1366"
"2018","Mercedes-Benz","447N","Vito","119 LWB Van","2.1","4cyl","Turbo","7","Auto","4","3","Van","2","Diesel","161","189","148","6.1","7.2","5.6","","","Euro 6","79","2850","Yes","0","176","2.25","1366"
