"ModelReleaseYear","Make","ModelReleaseVersion","Model","Variant","EngineDisplacement","EngineConfiguration","EngineInduction","FwdGearsNo","TransmissionTypeDescription","SideDoorNo","SeatingCapacity","BodyStyle","DrivingWheelsNo","FuelType","CO2EmissionsCombined","CO2EmissionsUrban","CO2EmissionsExtraUrban","FuelConsumptionCombined","FuelConsumptionUrban","FuelConsumptionExtraUrban","EnergyConsumptionWhkm","ElectricRangeKm","AirPollutionStandard","StationaryNoiseData","TestSpeed","IsCurrentModel","ModelEndYear","FuelLifeCycleCO2","AnnualTailpipeCO2","AnnualFuelCost"
"2019","Subaru","","BRZ","BRZ-ts","2","4cyl","Normal","6","Manual","2","4","Coupe","2","Petrol 98RON","199","273","156","8.6","11.8","6.7","","","Euro 5","81","3750","No","2025","210","2.79","2264"
"2022","Toyota","","GR 86","ZN8-BKC7","2.4","4cyl","Normal","6","Auto","2","4","Coupe","2","Petrol 98RON","199","290","144","8.7","12.7","6.3","","","Euro 6","73","3750","Yes","0","213","2.79","2290"
"2023","Volkswagen","MY24","Tiguan","235TSI R","2","4cyl","Turbo","7","Auto","4","5","SUV","4","Petrol 98RON","201","254","170","8.8","11.2","7.5","","","Euro 6","84","3750","No","2025","215","2.81","2316"
"2018","Audi","","RS4 Avant","3.0 TFSI quattro Tiptronic 19 Inch Wheel","3","6cyl","Turbo","8","Auto","4","5","Wagon","4","Petrol 98RON","201","264","165","8.9","11.6","7.3","","","Euro 6","91","3750","Yes","0","217","2.81","2342"
"2018","Audi","","RS5 Sportback","Quattro 2.9l V6 Biturbo 19"","2.9","6cyl","Turbo","8","Auto","4","5","Hatch","4","Petrol 98RON","201","265","163","8.9","11.7","7.3","","","Euro 6","91","3750","Yes","0","217","2.81","2342"
"2016","Audi","","RS Q3 performance","2.5 TFSI quattro S-Tronic 19 Inch Wheel","2.5","4cyl","Turbo","7","Auto","4","5","SUV","4","Petrol 98RON","201","275","159","8.6","11.8","6.8","","","Euro 6","80","3750","Yes","0","210","2.81","2264"
"2022","Subaru","MY22 Coupe","BRZ","High K ES","2.4","4cyl","Normal","6","Auto","2","4","Coupe","2","Petrol 98RON","201","295","145","8.8","13","6.4","","","Euro 6","73","3750","Yes","0","215","2.81","2316"
"2022","Subaru","MY22 Coupe S","BRZ","High ES","2.4","4cyl","Normal","6","Auto","2","4","Coupe","2","Petrol 98RON","201","295","145","8.8","13","6.4","","","Euro 6","73","3750","Yes","0","215","2.81","2316"
"2022","Toyota","","GR 86","ZN8-BKF7","2.4","4cyl","Normal","6","Auto","2","4","Coupe","2","Petrol 98RON","201","295","145","8.8","13","6.4","","","Euro 6","73","3750","Yes","0","215","2.81","2316"
"2020","Audi","","RS Q3","20" Wheels","2.5","5cyl","Turbo","7","Other","4","5","SUV","4","Petrol 98RON","202","262","167","8.8","11.5","7.3","","","Euro 6","88","3750","Yes","0","215","2.83","2316"
"2020","Audi","","RS Q3 Sportback","20" Wheels","2.5","5cyl","Turbo","7","Other","4","5","SUV","4","Petrol 98RON","202","262","168","8.8","11.5","7.3","","","Euro 6","88","3750","Yes","0","215","2.83","2316"
"2018","Audi","","RS4 Avant","3.0 TFSI quattro Tiptronic 20 Inch Wheel","3","6cyl","Turbo","8","Auto","4","5","Wagon","4","Petrol 98RON","202","264","166","8.9","11.7","7.3","","","Euro 6","91","3750","Yes","0","217","2.83","2342"
"2018","Audi","","RS5 Sportback","Quattro 2.9l V6 Biturbo 20"","2.9","6cyl","Turbo","8","Auto","4","5","Hatch","4","Petrol 98RON","202","267","165","8.9","11.7","7.3","","","Euro 6","91","3750","Yes","0","217","2.83","2342"
"2020","Mercedes-Benz","177","A Class","A45 AMG S 4MATIC Hatch","2","4cyl","Turbo","8","Auto","4","5","Hatch","4","Petrol 98RON","202","267","167","8.9","11.7","7.3","","","Euro 6","80","3750","Yes","0","217","2.83","2342"
"2023","Mercedes-Benz","W177","A Class","A 45 4MATIC Hatch","2","4cyl","Turbo","8","Auto","4","5","Hatch","4","Petrol 98RON","202","267","167","8.9","11.7","7.3","","","Euro 5","80","3750","Yes","0","217","2.83","2342"
"2020","Mercedes-Benz","118","CLA Class","CLA45 AMG S 4MATIC","2","4cyl","Turbo","8","Auto","4","5","Coupe","4","Petrol 98RON","202","275","165","8.9","12.1","7.2","","","Euro 6","80","3750","Yes","0","217","2.83","2342"
"2020","Audi","","RS Q3","21" Wheels","2.5","5cyl","Turbo","7","Other","4","5","SUV","4","Petrol 98RON","203","262","170","8.9","11.4","7.4","","","Euro 6","88","3750","Yes","0","217","2.84","2342"
"2015","Audi","","RS Q3","2.5 TFSI quattro S-Tronic 20 Inch Wheel","2.5","4cyl","Turbo","7","Auto","4","5","Wagon","4","Petrol 98RON","203","277","161","8.6","11.8","6.8","","","Euro 6","80.00","3750","Yes","0","210","2.84","2264"
"2021","BMW","X3 Series - G01","X3","M40i","3","6cyl","Turbo","8","Auto","4","5","Wagon","4","Petrol 98RON","204","256","174","8.9","11.2","7.6","","","Euro 6","85","3750","Yes","0","217","2.86","2342"
"2021","BMW","X3 Series - G01","X3","M40i","3","6cyl","Turbo","8","Auto","4","5","Wagon","4","Petrol 98RON","204","256","174","8.9","11.2","7.6","","","Euro 6","85","3750","Yes","0","217","2.86","2342"
"2018","BMW","G01","X3","M40i","3","6cyl","Turbo","8","Auto","4","5","Wagon","4","Petrol 98RON","204","259","172","8.9","11.7","7.5","","","Euro 6","83","3750","Yes","0","217","2.86","2342"
"2020","Audi","","RS Q3 Sportback","21" Wheels","2.5","5cyl","Turbo","7","Other","4","5","SUV","4","Petrol 98RON","204","262","171","8.9","11.4","7.5","","","Euro 6","88","3750","Yes","0","217","2.86","2342"
"2023","Mercedes-Benz","H247","GLA","35 AMG 4MATIC FL","2","4cyl","Turbo","8","Auto","4","5","SUV","4","Petrol 98RON","204","276","162","9","12.2","7.1","","","Euro 6","78","3750","Yes","0","220","2.86","2369"
"2018","Mercedes-Benz","217","S Class","S63 AMG","4","8cyl","Turbo","9","Auto","2","4","Coupe","2","Petrol 98RON","205","272","169","9","11.9","7.4","","","Euro 6","88","3750","Yes","0","220","2.87","2369"
"2022","Mercedes-Benz","W206","C Class","AMG C43 4MATIC","2","4cyl","Turbo","9","Auto","4","5","Sedan","4","Petrol 98RON","206","278","164","9.1","12.2","7.2","","","Euro 6","81","3750","Yes","0","222","2.88","2395"
"2016","Audi","","RS Q3 performance","2.5 TFSI quattro S-Tronic 20 Inch Wheel","2.5","4cyl","Turbo","7","Auto","4","5","SUV","4","Petrol 98RON","206","280","164","8.8","12","7","","","Euro 6","80","3750","Yes","0","215","2.88","2316"
"2024","Toyota","","GR Yaris","","1.6","3cyl","Turbo","8","Auto","2","4","Hatch","4","Petrol 98RON","206","295","155","9.1","13","6.9","","","Euro 6","78","3750","Yes","0","222","2.88","2395"
"2019","Mercedes-Benz","167","GLE Class","GLE450 4MATIC","3","6cyl","Turbo","9","Auto","4","7","Wagon","4","Petrol 98RON","207","253","183","9.1","11.1","8","","","Euro 6","77","3750","Yes","0","222","2.9","2395"
"2018","BMW","F22","2 Series","M2 Competition","3","6cyl","Turbo","7","Auto","2","4","Coupe","2","Petrol 98RON","207","267","171","9.1","11.9","7.5","","","Euro 6","86","3750","Yes","0","222","2.9","2395"
"2023","Mercedes-Benz","X247","GLB","35 AMG 4MATIC FL","2","4cyl","Turbo","8","Auto","4","7","SUV","4","Petrol 98RON","207","280","165","9.1","12.3","7.2","","","Euro 6","78","3750","Yes","0","222","2.9","2395"
"2021","Porsche","718","982","Cayman","2","4cyl","Turbo","6","Manual","2","2","Coupe","2","Petrol 98RON","208","283","164","9.1","12.4","7.2","","","Euro 6","90","3750","Yes","0","222","2.91","2395"
"2021","Porsche","718","982","Boxster","2","4cyl","Turbo","6","Manual","2","2","Convertible","2","Petrol 98RON","208","283","164","9.1","12.4","7.2","","","Euro 6","90","3750","Yes","0","222","2.91","2395"
"2021","Porsche","718","982","Boxster S","2.5","4cyl","Turbo","7","Auto","2","2","Convertible","2","Petrol 98RON","208","292","159","9.1","12.8","7","","","Euro 6","93","3750","Yes","0","222","2.91","2395"
"2021","Porsche","718","982","Cayman S","2.5","4cyl","Turbo","7","Auto","2","2","Coupe","2","Petrol 98RON","208","292","159","9.1","12.8","7","","","Euro 6","93","3750","Yes","0","222","2.91","2395"
"2024","Audi","","SQ5 Sportback","TFSI","3","6cyl","Turbo","8","Auto","4","5","SUV","4","Petrol 98RON","209","265","176","9.2","11.6","7.7","","","Euro 6","83","3750","Yes","0","225","2.93","2421"
"2021","Porsche","G2 II","Panamera","","3","6cyl","Turbo","8","Auto","4","4","Sedan","2","Petrol 98RON","209","276","170","9.2","12.1","7.5","","","Euro 5","91","3750","Yes","0","225","2.93","2421"
"2021","Porsche","G2 II","Panamera","","3","6cyl","Turbo","8","Auto","4","5","Sedan","2","Petrol 98RON","209","276","170","9.2","12.1","7.5","","","Euro 5","91","3750","Yes","0","225","2.93","2421"
"2024","Lexus","","LBX MORIZO RR","","1.6","3cyl","Turbo","8","Auto","4","5","Wagon","4","Petrol 98RON","209","303","155","9.2","13.4","6.8","","","Euro 6","78","3750","Yes","0","225","2.93","2421"
"2019","Mercedes-Benz","X167","GLS Class","GLS450 4MATIC","3","6cyl","Turbo","9","Auto","4","7","Wagon","4","Petrol 98RON","210","260","181","9.2","11.4","7.9","","","Euro 6","84","3750","Yes","0","225","2.94","2421"
"2021","Mercedes-Benz","257","CLS Class","CLS53 AMG 4MATIC","3","6cyl","Turbo","9","Auto","4","5","Coupe","4","Petrol 98RON","210","273","172","9.2","12","7.6","","","Euro 6","93","3750","Yes","0","225","2.94","2421"
"2024","Audi","","SQ5","TFSI","3","6cyl","Turbo","8","Auto","4","5","SUV","4","Petrol 98RON","211","269","178","9.2","11.8","7.8","","","Euro 6","83","3750","Yes","0","225","2.95","2421"
"2022","Porsche","","Macan","Macan T","2","4cyl","Turbo","7","Auto","4","5","SUV","4","Petrol 98RON","212","257","186","9.3","11.3","8.2","","","Euro 6","92","3750","Yes","0","227","2.97","2448"
"2021","Porsche","","Macan","","2","4cyl","Turbo","7","Auto","4","5","SUV","4","Petrol 98RON","212","257","186","9.3","11.3","8.2","","","Euro 6","92","3750","Yes","0","227","2.97","2448"
"2020","Mercedes-Benz","167","GLE Class","GLE53 AMG 4MATIC","3","6cyl","Turbo","9","Auto","4","5","Coupe","4","Petrol 98RON","212","267","181","9.3","11.7","7.9","","","Euro 6","86","3750","Yes","0","227","2.97","2448"
"2023","Mercedes-Benz","C118","CLA","45S AMG 4MATIC+ FL","2","4cyl","Turbo","8","Auto","4","5","Coupe","4","Petrol 98RON","212","293","165","9.3","12.9","7.3","","","Euro 6","81","3750","Yes","0","227","2.97","2448"
"2020","Mercedes-Benz","167","GLE Class","GLE53 AMG 4MATIC","3","6cyl","Turbo","9","Auto","4","5","Wagon","4","Petrol 98RON","214","268","184","9.4","11.8","8","","","Euro 6","86","3750","Yes","0","230","3","2474"
"2020","Audi","","RS 5 Coupe","","2.9","6cyl","Turbo","7","Auto","2","4","Coupe","4","Petrol 98RON","214","293","168","9.4","12.9","7.3","","","Euro 6","83","3750","Yes","0","230","3","2474"
"2019","Porsche","992","911","Carrera","3","6cyl","Turbo","8","Auto","2","4","Coupe","2","Petrol 98RON","214","304","165","9.4","13.3","7.2","","","Euro 5","92","3325","No","2025","230","3","2474"
"2020","Audi","","RS 5 Sportback","","2.9","6cyl","Turbo","7","Auto","4","5","Hatch","4","Petrol 98RON","215","293","169","9.4","12.9","7.4","","","Euro 6","83","3750","Yes","0","230","3.01","2474"
"2022","Toyota","","GR 86","ZN8-BKB8","2.4","4cyl","Normal","6","Manual","2","4","Coupe","2","Petrol 98RON","215","300","165","9.4","13.2","7.2","","","Euro 6","75","3750","Yes","0","230","3.01","2474"
"2024","Toyota","","GR Corolla","","1.6","3cyl","Turbo","8","Auto","4","5","Hatch","4","Petrol 98RON","215","311","160","9.5","13.7","7.1","","","Euro 6","93","3750","Yes","0","232","3.01","2500"
"2024","Porsche","G3","Panamera","","3","6cyl","Turbo","8","Auto","4","5","Sedan","2","Petrol 98RON","216","291","173","9.5","12.8","7.6","","","Euro 6","78","2850","Yes","0","232","3.02","2500"
"2019","Porsche","992","911","Carrera 4","3","6cyl","Turbo","8","Auto","2","4","Coupe","4","Petrol 98RON","216","304","167","9.5","13.3","7.3","","","Euro 5","92","3325","No","2025","232","3.02","2500"
"2019","Porsche","992","911","Carrera S","3","6cyl","Turbo","8","Auto","2","4","Coupe","2","Petrol 98RON","216","306","165","9.5","13.4","7.2","","","Euro 5","92","3325","No","2025","232","3.02","2500"
"2022","Subaru","MY22 Coupe","BRZ","High K","2.4","4cyl","Normal","6","Manual","2","4","Coupe","2","Petrol 98RON","217","302","166","9.5","13.3","7.3","","","Euro 6","75","3750","Yes","0","232","3.04","2500"
"2022","Subaru","MY22 Coupe S","BRZ","High ","2.4","4cyl","Normal","6","Manual","2","4","Coupe","2","Petrol 98RON","217","302","166","9.5","13.3","7.3","","","Euro 6","75","3750","Yes","0","232","3.04","2500"
"2022","Toyota","","GR 86","ZN8-BKE8","2.4","4cyl","Normal","6","Manual","2","4","Coupe","2","Petrol 98RON","217","302","166","9.5","13.3","7.3","","","Euro 6","75","3750","Yes","0","232","3.04","2500"
"2017","Mercedes-Benz","190","GT Class","GT ","4","8cyl","Turbo","7","Auto","2","2","Coupe","2","Petrol 98RON","218","286","179","9.4","12.3","7.7","","","Euro 6","93","3750","Yes","0","230","3.05","2474"
"2020","Audi","","RS 4 Avant","","2.9","6cyl","Turbo","7","Auto","4","5","Wagon","4","Petrol 98RON","218","295","173","9.5","12.9","7.6","","","Euro 6","83","3750","Yes","0","232","3.05","2500"
"2019","Porsche","992","911","Carrera Cabrio","3","6cyl","Turbo","8","Auto","2","4","Convertible","2","Petrol 98RON","218","306","167","9.6","13.4","7.3","","","Euro 5","92","3375","No","2025","235","3.05","2527"
"2019","Porsche","992","911","Carrera 4 Cabrio","3","6cyl","Turbo","8","Auto","2","4","Convertible","4","Petrol 98RON","218","306","167","9.6","13.4","7.3","","","Euro 5","92","3375","No","2025","235","3.05","2527"
"2024","Mercedes-Benz","X254","GLC","43 AMG 4MATIC","2","4cyl","Turbo","9","Auto","4","5","Wagon","4","Petrol 98RON","219","287","179","9.7","12.6","7.9","","","Euro 6","84","3750","Yes","0","237","3.07","2553"
"2021","Porsche","G2 II","Panamera","4","3","6cyl","Turbo","8","Auto","4","4","Sedan","4","Petrol 98RON","219","291","178","9.6","12.8","7.8","","","Euro 5","91","3750","Yes","0","235","3.07","2527"
"2021","Porsche","G2 II","Panamera","4","3","6cyl","Turbo","8","Auto","4","5","Sedan","4","Petrol 98RON","219","291","178","9.6","12.8","7.8","","","Euro 5","91","3750","Yes","0","235","3.07","2527"
"2024","Mercedes-Benz","C236","CLE","AMG 53 4MATIC+ Coupe","3","6cyl","Turbo","9","Auto","2","4","Coupe","4","Petrol 98RON","219","301","173","9.6","13.2","7.6","","","Euro 6","76","3750","Yes","0","235","3.07","2527"
"2019","Porsche","992","911","Carrera 4S","3","6cyl","Turbo","8","Auto","2","4","Coupe","4","Petrol 98RON","219","308","166","9.6","13.5","7.3","","","Euro 5","92","3325","No","2025","235","3.07","2527"
"2023","BMW","G87","2 Series","M2 DCT","3","6cyl","Turbo","8","Auto","2","4","Coupe","2","Petrol 98RON","220","300","174","9.7","13.2","7.7","","","Euro 6","93","3750","Yes","0","237","3.08","2553"
"2019","Porsche","992","911","Carrera S Cabrio","3","6cyl","Turbo","8","Auto","2","4","Convertible","2","Petrol 98RON","220","311","167","9.6","13.6","7.3","","","Euro 5","92","3375","No","2025","235","3.08","2527"
"2019","Porsche","992","911","Carrera 4S Cabrio","3","6cyl","Turbo","8","Auto","2","4","Convertible","4","Petrol 98RON","220","311","167","9.6","13.6","7.3","","","Euro 5","92","3375","No","2025","235","3.08","2527"
"2019","Mercedes-Benz","190","GT Class","GT S","4","8cyl","Turbo","7","Auto","2","2","Coupe","2","Petrol 98RON","221","286","184","9.5","12.3","7.9","","","Euro 6","93","3750","Yes","0","232","3.09","2500"
"2017","Mercedes-Benz","190","GT Class","GT ","4","8cyl","Turbo","7","Auto","2","2","Convertible","2","Petrol 98RON","221","286","184","9.5","12.3","7.9","","","Euro 6","93","3750","Yes","0","232","3.09","2500"
"2021","Porsche","G2 II","Panamera","4 Sports Tourismo","3","6cyl","Turbo","8","Auto","4","4","Wagon","4","Petrol 98RON","221","293","180","9.7","12.9","7.9","","","Euro 5","91","3750","Yes","0","237","3.09","2553"
"2025","Mercedes-Benz","A236","CLE","AMG 53 4MATIC+ Cabriolet","3","6cyl","Turbo","9","Auto","2","4","Convertible","4","Petrol 98RON","221","302","176","9.7","13.2","7.7","","","Euro 6","76","3750","Yes","0","237","3.09","2553"
"2024","BMW","G82","4 Series","M4 Competition","3","6cyl","Turbo","8","Auto","2","4","Coupe","2","Petrol 98RON","221","303","173","9.6","13.2","7.5","","","Euro 6","92","3750","Yes","0","235","3.09","2527"
"2020","Porsche","718","982","Cayman GTS","4","6cyl","Normal","7","Auto","2","2","Coupe","2","Petrol 98RON","221","304","173","9.7","13.4","7.6","","","Euro 5","92","3750","Yes","0","237","3.09","2553"
"2020","Porsche","718","982","Boxster GTS","4","6cyl","Normal","7","Auto","2","2","Convertible","2","Petrol 98RON","221","304","173","9.7","13.4","7.6","","","Euro 5","92","3750","Yes","0","237","3.09","2553"
"2020","Porsche","992","911","Targa 4S","3","6cyl","Turbo","8","Auto","2","4","Convertible","4","Petrol 98RON","222","305","173","9.7","13.4","7.6","","","Euro 5","92","3325","No","2025","237","3.11","2553"
"2020","Porsche","992","911","Targa 4","3","6cyl","Turbo","8","Auto","2","4","Convertible","4","Petrol 98RON","222","312","169","9.7","13.7","7.4","","","Euro 5","92","3325","No","2025","237","3.11","2553"
"2024","Mercedes-Benz","C254","GLC","43 AMG 4MATIC","2","4cyl","Turbo","9","Auto","4","5","Coupe","4","Petrol 98RON","223","296","181","9.9","13","8","","","Euro 6","84","3750","Yes","0","242","3.12","2606"
"2023","Mercedes-Benz","H247","GLA","45S AMG 4MATIC + FL","2","4cyl","Turbo","8","Auto","4","5","SUV","4","Petrol 98RON","223","297","180","9.8","13.1","7.9","","","Euro 6","81","3750","Yes","0","239","3.12","2579"
