Cost,ChargingPoints,PayAtLocation,MembershipRequired,AccessKeyRequired,IsOperational,Latitude,Longitude,Operator,ConnectionType,PowerOutput,CurrentType,ChargingPoints_Flag
Free,2,False,True,True,True,-33.75028109544636,151.28666346345153,ChargePoint,Type 1 (J1772),,AC (Single-Phase),0
Free,4,Unknown,Unknown,Unknown,True,-37.7021622916574,145.102334661124,Chargefox,Type 2 (Tethered Connector) ,22.0,AC (Three-Phase),0
Free (usual parking charges apply),1,Unknown,Unknown,Unknown,True,-42.681838541884,146.716543290624,Unknown,Type 2 (Socket Only),22.0,AC (Three-Phase),0
AUD 0.65/kWh,4,Unknown,Unknown,Unknown,True,-36.0741629913788,146.72714760942472,Chargefox,CHAdeMO,50.0,DC,0
Unknown,4,Unknown,Unknown,Unknown,True,-36.7430554636255,145.59112372251286,Chargefox,CHAdeMO,100.0,DC,0
AUD 0.50 per kWh,2,Unknown,Unknown,Unknown,True,-41.4359929336476,147.139492094509,Chargefox,CHAdeMO,50.0,DC,0
$0.66/kWh,1,False,True,True,True,-34.74657009261118,146.55023922868645,NRMA,CHAdeMO,50.0,DC,0
Free (usual parking charges apply),2,Unknown,Unknown,Unknown,True,-42.880712589104,147.337127709596,(Business Owner at Location),Type 2 (Socket Only),22.0,AC (Three-Phase),0
Free,2,Unknown,Unknown,Unknown,True,-42.8812069603813,147.324060134641,(Business Owner at Location),Type 1 (J1772),7.0,AC (Single-Phase),0
AUD 0.66/kWh;other tariffs for older cars,6,False,True,True,True,-33.41910934956461,149.58664011817848,Tesla (including non-tesla),CCS (Type 2),120.0,DC,0
$0.52/kWh,4,False,True,True,True,-32.24995,148.609182,Tesla (including non-tesla),CCS (Type 2),120.0,DC,0
0,2,Unknown,Unknown,Unknown,True,-27.4443374840838,153.083977603349,Queensland Electric Super Highway,CHAdeMO,50.0,DC,0
Unknown,1,False,False,False,True,-32.01768180025333,115.93733402246494,(Unknown Operator),Unknown,,Unknown,0
Free,1,False,True,True,True,-24.7635262364691,152.406376500262,Chargefox,CHAdeMO,50.0,DC,0
Free,4,Unknown,Unknown,Unknown,True,-35.1203280440309,139.276326843254,Chargestar (AU),Type 2 (Socket Only),22.0,AC (Three-Phase),0
AUD 0.42/kWh;other tariffs for older cars,6,False,True,True,True,-26.654159,153.087171,Tesla (Tesla-only charging),CCS (Type 2),120.0,DC,0
AUD 0.42/kWh;other tariffs for older cars,6,False,True,True,True,-35.294304,149.190322,Tesla (Tesla-only charging),CCS (Type 2),120.0,DC,0
AUD 0.42/kWh;other tariffs for older cars,8,False,True,True,True,-28.035361,153.427306,Tesla (Tesla-only charging),CCS (Type 2),120.0,DC,0
AUD 0.42/kWh;other tariffs for older cars,4,Unknown,Unknown,Unknown,True,-31.1016479615861,150.9173432295,Tesla (Tesla-only charging),CCS (Type 2),120.0,DC,0
AUD 0.42/kWh;other tariffs for older cars,4,False,True,True,True,-36.223136,150.128346,Tesla (including non-tesla),CCS (Type 2),120.0,DC,0
Free first hour then $0.20/kWh from 6am to 6pm Monday to Friday and then $0.10/kWh at all other times (Minimum fee of $1 applies after first hour),2,False,True,True,True,-34.9074752234107,138.605518610603,Unknown,Type 2 (Socket Only),22.0,AC (Three-Phase),0
Free first hour then $0.20/kWh from 6am to 6pm Monday to Friday and then $0.10/kWh at all other times (Minimum fee of $1 applies after first hour),4,False,True,True,True,-34.9255831251237,138.597405975263,Unknown,Type 2 (Socket Only),22.0,AC (Three-Phase),0
Free first hour then $0.20/kWh from 6am to 6pm Monday to Friday and then $0.10/kWh at all other times (Minimum fee of $1 applies after first hour),2,False,True,True,True,-34.9255343,138.5946563,Unknown,Type 2 (Socket Only),22.0,AC (Three-Phase),0
Free first hour then $0.20/kWh from 6am to 6pm Monday to Friday and then $0.10/kWh at all other times,4,False,True,True,True,-34.9250025518746,138.604250972669,Unknown,Type 2 (Socket Only),22.0,AC (Three-Phase),0
Free first hour then $0.20/kWh from 6am to 6pm Monday to Friday and then $0.10/kWh at all other times (Minimum fee of $1 applies after first hour),2,False,True,True,True,-34.9244219745177,138.604937618177,Unknown,Type 2 (Socket Only),22.0,AC (Three-Phase),0
Free first hour then $0.20/kWh from 6am to 6pm Monday to Friday and then $0.10/kWh at all other times (Minimum fee of $1 applies after first hour),11,False,True,True,True,-34.9229265290754,138.605967586439,Unknown,Type 2 (Socket Only),22.0,AC (Three-Phase),0
Free first hour then $0.20/kWh from 6am to 6pm Monday to Friday and then $0.10/kWh at all other times (Minimum fee of $1 applies after first hour),11,False,True,True,True,-34.9298933132088,138.597212856214,Unknown,Type 2 (Socket Only),22.0,AC (Three-Phase),0
Unknown,1,True,False,False,True,-17.3073017,123.6264617,(Business Owner at Location),Three Phase 5-Pin (AS/NZ 3123),22.0,AC (Three-Phase),0
Unknown,1,True,False,False,False,-18.196713,125.5629255,(Unknown Operator),Three Phase 5-Pin (AS/NZ 3123),22.0,AC (Three-Phase),0
Unknown,1,True,False,False,True,-15.771180096780398,128.73165995397676,(Unknown Operator),Three Phase 5-Pin (AS/NZ 3123),22.0,AC (Three-Phase),0
$0.44/kWh,1,True,False,False,True,-17.017009491078326,128.21695086556724,(Unknown Operator),Three Phase 5-Pin (AS/NZ 3123),22.0,AC (Three-Phase),0
Free,1,Unknown,Unknown,Unknown,True,-12.374576,130.869764,(Business Owner at Location),Type 2 (Socket Only),22.0,AC (Three-Phase),0
$0.30,2,False,True,True,True,-24.327315454004623,151.56053269510653,Queensland Electric Super Highway,CHAdeMO,50.0,DC,0
$0.30 per kWh,2,False,True,True,True,-25.235051698123705,152.27907294299166,Queensland Electric Super Highway,CHAdeMO,50.0,DC,0
AUD $0.30 / kWh,2,False,True,True,True,-25.5395639,152.6987293,Queensland Electric Super Highway,CHAdeMO,50.0,DC,0
AUD $00.45 / kWh,2,Unknown,Unknown,Unknown,True,-26.4178079482267,152.911369371053,Queensland Electric Super Highway,CHAdeMO,50.0,DC,0
AUD 0.42/kWh;other tariffs for older cars,8,False,True,True,True,-33.882995,151.194332,Tesla (Tesla-only charging),CCS (Type 2),120.0,DC,0
Free,4,False,False,False,True,-34.9377511939248,138.536149263382,(Unknown Operator),Type 1 (J1772),7.0,AC (Single-Phase),0
