ID,Title,Latitude,Longitude,AccessComments,WheelchairAccess,Connectors,City,Wheelchair_Score,Connector_Score,Proximity_Score,Walkability_Score,PublicTransport_Score,Population_Score,n_Wheelchair_Score,n_Connector_Score,n_Proximity_Score,n_Walkability_Score,n_PublicTransport_Score,n_Population_Score,AIS_Score
60564,Mittagong NSW Main Street,-34.4499721,150.451723,Recharger is at the rear of the building at the southern end of the car park,,1,Mittagong ,1,1,0.5,0.5,0.5,0.5,1.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.22777777777777777
161844,Mittagong NRMA,-34.45002862260948,150.44244730477044,,,2,Mittagong,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444
272675,Swansea,-33.0833,151.6333,,,4,,0,4,0.5,0.5,0.5,0.5,0.0,0.8,0.0,0.0,0.0,0.16666666666666663,0.16111111111111112
161832,Great North Trading Post,-32.990224952340206,151.1307728426591,"Ask cafe staff for access, try the burgers and coffee!",,1,Laguna,1,1,0.5,0.5,0.5,0.5,1.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.22777777777777777
270949,RMIT - City Campus,-37.80624795114712,144.96401596254236,,,2,Carlton,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444
41209,100 St Kilda Rd,-37.82155,144.968518,,,1,Southbank,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111
18826,11 Nicholson Street,-37.804609,144.972702,,,1,Carlton,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111
202147,Lorbek Luxury Cars,-37.821362270898675,144.95148061129817,,,1,Port Melbourne,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111
308750,Tesla Supercharger South Melbourne,-37.83227022248282,144.9609633571161,,,1,South Melbourne,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111
191055,Collingwood Library,-37.80446562888998,144.99324369474311,,,4,Abbotsford,0,4,0.5,0.5,0.5,0.5,0.0,0.8,0.0,0.0,0.0,0.16666666666666663,0.16111111111111112
270950,JET Charge Office,-37.82858393063794,144.93443851602245,,,3,Port Melbourne,0,3,0.5,0.5,0.5,0.5,0.0,0.6000000000000001,0.0,0.0,0.0,0.16666666666666663,0.1277777777777778
307988,Evie Richmond Library,-37.825531454943984,144.99874510755922,,,1,Richmond,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111
