ID,Title,Latitude,Longitude,AccessComments,WheelchairAccess,Connectors,City,Wheelchair_Score,Connector_Score,Proximity_Score,Walkability_Score,PublicTransport_Score,Population_Score,n_Wheelchair_Score,n_Connector_Score,n_Proximity_Score,n_Walkability_Score,n_PublicTransport_Score,n_Population_Score,AIS_Score,Cluster
210837,BP Caboolture Southbound,-27.124085965644262,152.9780074043885,,,1,Burpengary East,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111,-1
210836,BP Caboolture North,-27.123951870528913,152.97639020698597,,,2,Morayfield,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444,-1
300801,Willowbank Raceway,-27.68917090278832,152.6532223508002,Located in carpark off Champions Way. ,,1, Willowbank,1,1,0.5,0.5,0.5,0.5,1.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.22777777777777777,-1
273535,EV Charging Australia,-27.973719,152.994503,,,1,Beaudesert,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111,-1
308826,Evie Beaudesart,-27.989984369173,152.99919697266995,,,1,Beaudesart,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111,-1
157549,Evie Networks Coochin Creek,-26.918077062069383,152.99684374211074,Out the back behind McDonalds.,,2,Caboolture,1,2,0.5,0.5,0.5,0.5,1.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.26111111111111107,-1
272709,Electric Highway - Esk,-27.239039102114777,152.42027885374284,,,3,Esk,0,3,0.5,0.5,0.5,0.5,0.0,0.6000000000000001,0.0,0.0,0.0,0.16666666666666663,0.1277777777777778,-1
193389,QESH Lawes (Gatton),-27.551262926011873,152.33494320232535,,,3,Lawes,0,3,0.5,0.5,0.5,0.5,0.0,0.6000000000000001,0.0,0.0,0.0,0.16666666666666663,0.1277777777777778,-1
190396,Bilinga QESH (Coolangatte Airport),-28.16382522506754,153.514927307191,eastern side of shopping centre carpark,,3,Bilinga,1,3,0.5,0.5,0.5,0.5,1.0,0.6000000000000001,0.0,0.0,0.0,0.16666666666666663,0.29444444444444445,-1
190395,Coolangatta Surf Club,-28.166937408855013,153.53634874918976,,,2,Coolangatta,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444,-1
190290,Enderslie B&B,-31.581419541887502,115.98343798965402,,,1,Muchea,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111,-1
190474,Millbrook Winery,-32.349268426066345,116.04988295662385,You need to drive past the main visitor's carpark up to the smaller carpark near the main building E of the lake.,,2,Jarrahdale,1,2,0.5,0.5,0.5,0.5,1.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.26111111111111107,-1
190291,Alan and Eve's Eden,-31.53857963900527,116.07373436553274,,,1,Lower Chittering,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111,-1
155242,Caltex North Dandalup Roadhouse,-32.522297898787784,115.9702834262232,,,1,North Dandalup,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111,-1
16322,Bindoon Oval,-31.386192,116.09747300000004,,,1,Bindoon,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111,-1
190294,Gingin Hotel,-31.350965381790523,115.90418179823558,,,1,Gingin,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111,-1
190293,Granville Civic Centre,-31.34975443971156,115.90479361984762,,,2,Gingin,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444,-1
190292,Gravity Discovery Centre,-31.356129821303917,115.71263310610529,"Please go through deliveries entrance and take first left into staff parking. Charging port is to the left of the door, on the side of the air conditioning control panel.",,1,Gingin,1,1,0.5,0.5,0.5,0.5,1.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.22777777777777777,-1
148048,Toodyay Shire,-31.55077625511821,116.46758905677255,,,2,Toodyay,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444,-1
16654,Guilderton Caravan Park,-31.350431412517,115.50134423591,,,1,Guilderton,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111,-1
190286,Laurelville Manor,-31.890257051674716,116.7767352171943,,,1,York,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111,-1
100229,Adelaide Hills Business Centre,-34.9494963805521,138.87688100338,In car park ,,1,Woodside,1,1,0.5,0.5,0.5,0.5,1.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.22777777777777777,-1
191204,Kay Brothers Winery,-35.183475,138.562114,"Two parking spaces adjacent to cellar door with a range of plugs available (BYO cables): 1 x 22kW Type 2, 2 x 15A single phase; 1 x 20A 3-phase.",,3,McLaren Vale,1,3,0.5,0.5,0.5,0.5,1.0,0.6000000000000001,0.0,0.0,0.0,0.16666666666666663,0.29444444444444445,-1
100221,Summit Health Centre,-35.0812612,138.8692225,In carpark,,1,Mount Barker,1,1,0.5,0.5,0.5,0.5,1.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.22777777777777777,-1
100239,Gawler Council Administration Centre,-34.597536084816,138.750350475311,In car park. Chargepoint card is needed to activate,,1,Gawler East,1,1,0.5,0.5,0.5,0.5,1.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.22777777777777777,-1
100230,Gawler Visitor Information Centre,-34.5964807070339,138.749830126762,,,1,Gawler,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111,-1
100225,Strathalbyn Visitor Information Centre,-35.2611352649743,138.891831636429,The Nextcharge app is needed to activate the station,,1,Strathalbyn ,1,1,0.5,0.5,0.5,0.5,1.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.22777777777777777,-1
210791,Yankalilla Council Chambers,-35.457039,138.35117,,,3,Yankalilla,0,3,0.5,0.5,0.5,0.5,0.0,0.6000000000000001,0.0,0.0,0.0,0.16666666666666663,0.1277777777777778,-1
100224,Normanville Town Centre,-35.44700132829,138.318842053413,Next to public toilets. NextCharge app is needed to activate.,,1,Normanville,1,1,0.5,0.5,0.5,0.5,1.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.22777777777777777,-1
114487,Murray Bridge Visitor Information Centre,-35.1203280440309,139.276326843254,In car park.  Available 24/7. ,,1,Murray Bridge,1,1,0.5,0.5,0.5,0.5,1.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.22777777777777777,-1
