Timestamp,Station_Name,Longitude,Latitude,Address,Distance_km,ETA_min,Suburb_Location_Lat,Suburb_Location_Lon
2025-04-18T16:19:07.012401,Evie,144.572248,-37.722813,"201 Exford Road, Weir Views, VIC, 3338",10.44,11.97,-37.7884948,144.5582739
2025-04-18T16:19:09.207595,ChargeFox,145.077222,-37.862501,"2 Marquis Street, Melbourne, VIC, 3147",2.44,5.9,-37.876835,145.0658739
2025-04-18T16:19:11.221037,Evie,144.782132,-37.696554,"410 Melton Highway, Melbourne, VIC, 3038",6.06,6.67,-37.7205762,144.8047614
2025-04-18T16:19:13.135249,Evie,144.737043,-38.338561,"860 Melbourne Road, Sorrento, VIC, 3943",1.49,5.25,-38.3363033,144.7453366
2025-04-18T16:19:15.376077,AmpCharge,145.073586,-37.659606,"377 Plenty Road, Melbourne, VIC, 3082",10.74,17.57,-37.5979507,145.0753657
2025-04-18T16:19:17.803273,bp pulse,145.264097,-38.110217,"1025 Cranbourne Frankston Road, Melbourne, VIC, 3977",2.28,6.93,-38.102241,145.2517182
2025-04-18T16:19:19.733700,ChargeFox,144.81576,-37.760585,"145 Furlong Road, Melbourne, VIC, 3021",1.44,3.98,-37.766817,144.8245105
2025-04-18T16:19:21.085086,Evie,144.729187,-37.581831,"98-122 O'Shanassy Street, Sunbury, VIC, 3429",1.51,3.88,-37.5772947,144.7161349
2025-04-18T16:19:23.301609,ChargeFox,145.135069,-38.151687,"47-49 Moorooduc Hwy, Melbourne, VIC, 3199",5.14,7.57,-38.1379689,145.1628252
2025-04-18T16:19:25.528849,ChargeFox,145.18965,-37.936361,"271 Police Road, Melbourne, VIC, 3170",1.88,5.02,-37.9359053,145.2051222
2025-04-18T16:19:27.980305,ChargeFox,144.749907,-37.691938,"1-15 Banchory Avenue, Melbourne, VIC, 3037",10.7,17.08,-37.705345,144.6794568
2025-04-18T16:19:29.922156,Evie,145.003594,-37.906279,"47 Willansby Avenue, Melbourne, VIC, 3186",2.15,5.23,-37.9171728,145.0163663
2025-04-18T16:19:32.151104,Evie,144.89418,-37.802342,"38 Raleigh Street, Melbourne, VIC, 3011",1.76,4.05,-37.8054508,144.879879
2025-04-18T16:19:33.886144,bp pulse,144.993801,-37.647825,"1 Scanlon Drive, Melbourne, VIC, 3076",5.31,9.53,-37.6755673,144.9898056
2025-04-18T16:19:36.099622,ChargeFox,145.120516,-37.817982,"1 Main Street, Melbourne, VIC, 3128",2.03,6.27,-37.8148997,145.1062282
2025-04-18T16:19:37.815595,JOLT,145.041063,-37.948561,"493A Highett Road, Melbourne, VIC, 3190",4.17,7.37,-37.9502592,145.0043868
2025-04-18T16:19:40.028674,ChargeFox,144.614101,-37.909729,"104 Shipwright Parade, Melbourne, VIC, 3030",0.56,2.5,-37.9110402,144.6113082
2025-04-18T16:19:42.712440,JOLT,145.337862,-38.059639,"288-296 Clyde Road, Melbourne, VIC, 3806",3.55,8.35,-38.0398297,145.3451089
2025-04-18T16:19:44.691509,ChargeFox,145.044897,-37.719093,"Kingsbury Drive, Melbourne, VIC, 3083",2.79,6.47,-37.718862,145.0231115
2025-04-18T16:19:46.886639,ChargeFox,145.142444,-37.72293,"40 Brougham Street, Melbourne, VIC, 3095",1.71,4.83,-37.713736,145.147673
2025-04-18T16:19:49.707175,AmpCharge,145.296273,-37.823223,"Gatwick Rd, Melbourne, VIC, 3153",5.46,7.4,-37.8054372,145.3280915
2025-04-18T16:19:52.133627,ChargeFox,145.124142,-38.139738,"15 Beach Street, Melbourne, VIC, 3199",8.39,11.57,-38.1003312,145.1788657
2025-04-18T16:19:54.080124,Evie,144.993264,-37.804475,"7-11 Stanton Street, Melbourne, VIC, 3067",0.67,4.02,-37.8045508,144.9988542
2025-04-18T16:29:55.525420,bp pulse,144.898079,-37.534418,"470 Donnybrook Road, Melbourne, VIC, 3064",10.55,15.02,-37.5442344,145.0076408
2025-04-18T16:29:58.181829,JOLT,145.017458,-37.975499,"588 Balcombe Road, Melbourne, VIC, 3193",1.02,2.4,-37.9706564,145.0212822
2025-04-18T16:30:01.168940,ChargeFox,145.111046,-37.844412,"7 Uganda Street, Melbourne, VIC, 3125",0.89,1.58,-37.8374349,145.1115353
2025-04-18T16:30:02.628883,ChargeFox,144.599737,-37.715307,"Bridge Rd, Cobblebank, VIC, 3338",14.29,16.98,-37.7917062,144.5494853
2025-04-18T16:30:05.672281,ChargeFox,145.279866,-37.79692,"4-16 Devon Street, Melbourne, VIC, 3136",1.95,4.38,-37.7955004,145.2801507
2025-04-18T16:30:07.750933,bp pulse,144.993801,-37.647825,"1 Scanlon Drive, Melbourne, VIC, 3076",6.77,10.47,-37.6362329,145.0265708
2025-04-18T16:30:09.995189,bp pulse,144.739608,-37.756332,"Western Highway, Caroline Springs Boulevard, Melbourne, VIC, 3023",3,5.3,-37.7340623,144.7370017
2025-04-18T16:30:11.677193,Evie,145.115953,-38.054794,"8 Swansea Road, Melbourne, VIC, 3196",1.34,4.52,-38.0497386,145.121407
2025-04-18T16:30:12.986228,ChargeFox,144.726621,-37.581337,"106-112 Evans Street, Sunbury, VIC, 3429",0.3,2.27,-37.5791363,144.7279832
2025-04-18T16:30:14.934609,ChargeFox,145.281708,-38.107852,"125 High Street, Melbourne, VIC, 3977",4.26,9.05,-38.1199326,145.3182716
2025-04-18T16:30:17.176264,Evie,144.922268,-37.676814,"1177-1183 Pascoe Vale Road, Melbourne, VIC, 3047",2.5,5.93,-37.6694522,144.9350241
2025-04-18T16:30:18.890449,AmpCharge,145.166811,-37.941731,"754-768 Princes Highway, Melbourne, VIC, 3171",6.67,11.83,-37.9623312,145.1346687
2025-04-18T16:30:19.615490,Evie,145.118395,-37.510615,"74 Church Street, Whittlesea, VIC, 3757",0.96,1.85,-37.5121301,145.1177321
2025-04-18T16:30:21.205698,Evie,144.572248,-37.722813,"201 Exford Road, Weir Views, VIC, 3338",10.08,11.43,-37.7934621,144.5595902
2025-04-18T16:30:22.936359,Evie,145.115953,-38.054794,"8 Swansea Road, Melbourne, VIC, 3196",7.01,13.3,-38.0102322,145.0929673
2025-04-18T16:30:24.614696,Evie,144.572248,-37.722813,"201 Exford Road, Weir Views, VIC, 3338",1.9,3.35,-37.7323715,144.5708942
2025-04-18T16:30:27.097148,AmpCharge,144.755443,-37.694021,"575 Melton Highway, Melbourne, VIC, 3037",2.15,3.87,-37.6997223,144.7653295
2025-04-18T16:30:27.858345,Evie,145.118395,-37.510615,"74 Church Street, Whittlesea, VIC, 3757",5.1,4.95,-37.4927455,145.1572676
2025-04-18T16:30:30.086379,ChargeFox,145.102382,-37.70228,"25 Main Street, Melbourne, VIC, 3088",2.7,7.22,-37.7037383,145.1079105
2025-04-18T16:30:32.127524,ChargeFox,144.920987,-37.723624,"563 Pascoe Vale Road, Melbourne, VIC, 3044",0.91,3.38,-37.7180181,144.9215041
2025-04-18T16:30:34.407899,ChargeFox,145.134114,-37.91447,"26 Ancora Imparo Way, Melbourne, VIC, 3168",1.06,3.78,-37.9133914,145.1301259
2025-04-18T16:30:36.128257,Evie,145.086085,-37.91024,"206 Warrigal Road, Melbourne, VIC, 3167",2.39,5.8,-37.9248257,145.0921745
2025-04-18T16:30:38.572175,EVUp,145.279595,-38.087022,"1063 South Gippsland Highway, Melbourne, VIC, 3977",2.88,5.3,-38.102184,145.2949057
2025-04-18T16:30:40.366870,Evie,145.223892,-37.97132,"158-164 Stud Road, Melbourne, VIC, 3175",2.89,7.33,-37.98749,145.2147923
2025-04-18T16:30:42.373267,ChargeFox,145.135069,-38.151687,"47-49 Moorooduc Hwy, Melbourne, VIC, 3199",1.73,5.17,-38.150925,145.142239
