_id,cost,charging_points,pay_at_location,membership_required,access_key_required,is_operational,latitude,longitude,operator,connection_type,current_type,charging_points_flag,location.type,location.coordinates[0],location.coordinates[1]
674f97ff3dc8e5d2ac0084ff,Unknown,4,Unknown,Unknown,Unknown,Unknown,-34.0716189,150.8058677,Chargefox,"Type 2 (Socket Only), CHAdeMO",Unknown,0,Point,150.8058677,-34.0716189
674f97ff3dc8e5d2ac0086d5,$0.66/kWh,12,false,true,true,true,-34.07151792,150.8073009,Tesla (Tesla-only charging),CCS (Type 2),DC,0,Point,150.8073009,-34.07151792
674f97ff3dc8e5d2ac0085a3,$0.60/kWh,1,false,true,true,true,-34.07085888,150.8066558,Chargefox,CCS (Type 2),DC,0,Point,150.8066558,-34.07085888
674f97ff3dc8e5d2ac008439,Unknown,2,Unknown,Unknown,Unknown,Unknown,-34.0678179,150.7889593,Chargefox,Unknown,Unknown,0,Point,150.7889593,-34.0678179
674f97ff3dc8e5d2ac00843e,Unknown,1,Unknown,Unknown,Unknown,Unknown,-34.0532156,150.8236391,BP Pulse,Unknown,Unknown,1,Point,150.8236391,-34.0532156
674f97ff3dc8e5d2ac0084f3,Unknown,1,Unknown,Unknown,Unknown,Unknown,-34.0418122,150.7354796,Evie Networks,CHAdeMO,Unknown,1,Point,150.7354796,-34.0418122
674f97ff3dc8e5d2ac0084c2,Unknown,1,Unknown,Unknown,Unknown,Unknown,-34.0366131,139.6709899,Chargefox,Unknown,Unknown,1,Point,139.6709899,-34.0366131
674f98013dc8e5d2ac0087c6,FREE,4,false,true,true,true,-34.03429801,151.0734299,Chargefox,Type 2 (Socket Only),AC (Three-Phase),0,Point,151.0734299,-34.03429801
674f98013dc8e5d2ac0087b7,$0.52/kWh,6,false,true,true,true,-34.03306365,151.0738827,Tesla (Tesla-only charging),CCS (Type 2),DC,0,Point,151.0738827,-34.03306365
674f97ff3dc8e5d2ac00865e,Unknown,2,false,true,true,true,-34.03295211,151.1252088,Evie,CCS (Type 2),DC,0,Point,151.1252088,-34.03295211
674f97ff3dc8e5d2ac008525,Unknown,1,Unknown,Unknown,Unknown,Unknown,-34.030909,150.8489837,Evie Networks,CHAdeMO,Unknown,1,Point,150.8489837,-34.030909
674f97ff3dc8e5d2ac0084b0,Unknown,4,Unknown,Unknown,Unknown,Unknown,-34.029301,151.1220937,Evie Networks,Unknown,Unknown,0,Point,151.1220937,-34.029301
