Suburb,Population,suburb_key,Dwellings,Income,Vehicles_per_Dwelling,Station_Count,Public_Chargers,Total_Points,latitude,longitude,Charger_to_Pop_Ratio,Stations_to_Pop_Ratio
Fitzroy North,13722,fitzroy north,6492.0,2300.0,1.2,0,0,0.0,,,0.0,0.0
Flemington,10290,flemington,5167.0,1571.0,1.1,0,0,0.0,,,0.0,0.0
Flemington Racecourse,78,flemington racecourse,37.0,2178.0,1.1,0,0,0.0,,,0.0,0.0
Footscray,20756,footscray,38345.0,1738.0,1.5,0,0,0.0,,,0.0,0.0
Forest Hill,11213,forest hill,24151.0,1833.0,1.8,1,1,2.0,-37.8362738,145.1690911,8.918219923303308e-05,8.918219923303308e-05
Frankston,24792,frankston,58774.0,1653.0,1.9,1,1,1.0,-38.150925,145.142239,4.0335592126492416e-05,4.0335592126492416e-05
Frankston North,19841,frankston north,8677.0,1313.0,1.6,0,0,0.0,,,0.0,0.0
Frankston South,19214,frankston south,7393.0,2038.0,2.0,0,0,0.0,,,0.0,0.0
Fraser Rise - Plumpton,20730,fraser rise plumpton,3247.0,2254.0,2.1,0,0,0.0,,,0.0,0.0
Gladstone Park - Westmeadows,18264,gladstone park westmeadows,7111.0,1600.0,2.0,0,0,0.0,,,0.0,0.0
Glen Iris (East),17537,glen iris east,6594.0,2914.0,1.9,0,0,0.0,,,0.0,0.0
Glenroy (East),15735,glenroy east,6291.0,1526.0,1.6,0,0,0.0,,,0.0,0.0
Glenroy (West),9575,glenroy west,3702.0,1869.0,1.5,0,0,0.0,,,0.0,0.0
Glen Waverley (East),22689,glen waverley east,8072.0,1949.0,1.9,0,0,0.0,,,0.0,0.0
Glen Waverley (West),23202,glen waverley west,8464.0,1890.0,1.8,0,0,0.0,,,0.0,0.0
Gowanbrae,3189,gowanbrae,1200.0,2162.0,2.0,0,0,0.0,,,0.0,0.0
Greensborough,21338,greensborough,8265.0,2078.0,1.9,1,1,4.0,-37.7037383,145.1079105,4.686474833630143e-05,4.686474833630143e-05
Greenvale - Bulla,25723,greenvale bulla,7079.0,2250.0,2.4,0,0,0.0,,,0.0,0.0
Hadfield,6654,hadfield,2610.0,1538.0,1.7,0,0,0.0,,,0.0,0.0
Hallam,11944,hallam,3887.0,1496.0,2.0,0,0,0.0,,,0.0,0.0
Hampton,19208,hampton,7874.0,2415.0,1.7,1,1,1.0,-37.9381127,145.0014764,5.2061640982923784e-05,5.2061640982923784e-05
Hampton Park (East),13383,hampton park east,4070.0,1623.0,2.1,0,0,0.0,,,0.0,0.0
Hampton Park (West),13768,hampton park west,4556.0,1462.0,2.0,0,0,0.0,,,0.0,0.0
Hastings - Somers,23960,hastings somers,10861.0,1407.0,1.9,0,0,0.0,,,0.0,0.0
Hawthorn East,17318,hawthorn east,8183.0,2228.0,1.5,0,0,0.0,,,0.0,0.0
Hawthorn (North),10820,hawthorn north,4865.0,2300.0,1.4,0,0,0.0,,,0.0,0.0
Hawthorn (South),13481,hawthorn south,6789.0,2055.0,1.3,0,0,0.0,,,0.0,0.0
Heidelberg - Rosanna,16915,heidelberg rosanna,7063.0,2102.0,1.6,0,0,0.0,,,0.0,0.0
Heidelberg West,16703,heidelberg west,7053.0,1618.0,1.5,0,0,0.0,,,0.0,0.0
Highett (East) - Cheltenham,25866,highett east cheltenham,16160.0,1867.0,1.3,0,0,0.0,,,0.0,0.0
Highett (West) - Cheltenham,13098,highett west cheltenham,16160.0,1867.0,1.3,0,0,0.0,,,0.0,0.0
Hillside,16120,hillside,5274.0,2212.0,2.4,0,0,0.0,,,0.0,0.0
Hoppers Crossing (North),18410,hoppers crossing north,6833.0,1705.0,2.1,0,0,0.0,,,0.0,0.0
Hoppers Crossing (South),18967,hoppers crossing south,7135.0,1470.0,1.8,0,0,0.0,,,0.0,0.0
Hughesdale,8088,hughesdale,3348.0,2057.0,1.6,0,0,0.0,,,0.0,0.0
Hurstbridge,3540,hurstbridge,1307.0,2168.0,2.3,0,0,0.0,,,0.0,0.0
Ivanhoe,13151,ivanhoe,29403.0,2055.0,1.7,0,0,0.0,,,0.0,0.0
Ivanhoe East - Eaglemont,8100,ivanhoe east eaglemont,3142.0,2914.0,2.0,0,0,0.0,,,0.0,0.0
Keilor,8701,keilor,25042.0,1935.0,1.9,0,0,0.0,,,0.0,0.0
Keilor Downs,13068,keilor downs,4918.0,1553.0,2.0,1,1,2.0,-37.7205762,144.8047614,7.652280379553107e-05,7.652280379553107e-05
Keilor East,15497,keilor east,5948.0,1913.0,1.9,0,0,0.0,,,0.0,0.0
Kensington,11699,kensington,1959.0,1840.0,2.5,0,0,0.0,,,0.0,0.0
Kew East,6780,kew east,2588.0,2485.0,1.8,0,0,0.0,,,0.0,0.0
Kew (South),12352,kew south,4961.0,2577.0,1.8,0,0,0.0,,,0.0,0.0
Kew (West),13675,kew west,5685.0,2459.0,1.7,0,0,0.0,,,0.0,0.0
Keysborough (North),15095,keysborough north,5187.0,1525.0,2.0,0,0,0.0,,,0.0,0.0
Keysborough (South),16874,keysborough south,4605.0,2493.0,2.3,0,0,0.0,,,0.0,0.0
Kilsyth,10676,kilsyth,4170.0,1654.0,1.9,0,0,0.0,,,0.0,0.0
Kingsbury,12508,kingsbury,4469.0,1727.0,1.7,0,0,0.0,,,0.0,0.0
Kings Park,13931,kings park,6893.0,1753.0,1.5,0,0,0.0,,,0.0,0.0
Knoxfield - Scoresby,17142,knoxfield scoresby,6270.0,1953.0,2.0,0,0,0.0,,,0.0,0.0
Koo Wee Rup,12009,koo wee rup,1259.0,1763.0,2.1,0,0,0.0,,,0.0,0.0
Kurunjang - Toolern Vale,12069,kurunjang toolern vale,4293.0,1556.0,2.2,0,0,0.0,,,0.0,0.0
Lalor (East),10195,lalor east,4018.0,1224.0,1.7,0,0,0.0,,,0.0,0.0
Lalor (West),13933,lalor west,4793.0,1450.0,1.9,0,0,0.0,,,0.0,0.0
Langwarrin,25747,langwarrin,9504.0,1950.0,2.2,0,0,0.0,,,0.0,0.0
Laverton,12754,laverton,379.0,966.0,1.4,0,0,0.0,,,0.0,0.0
Lilydale - Coldstream,20533,lilydale coldstream,7930.0,1784.0,2.1,0,0,0.0,,,0.0,0.0
Lynbrook - Lyndhurst,19435,lynbrook lyndhurst,5218.0,2330.0,2.2,0,0,0.0,,,0.0,0.0
Lysterfield,6614,lysterfield,2144.0,2756.0,2.6,0,0,0.0,,,0.0,0.0
Malvern East,23738,malvern east,9793.0,2386.0,1.7,1,1,1.0,-37.876835,145.0658739,4.2126548150644534e-05,4.2126548150644534e-05
Malvern - Glen Iris,21680,malvern glen iris,9903.0,2364.0,1.6,0,0,0.0,,,0.0,0.0
Manor Lakes - Quandong,12575,manor lakes quandong,3394.0,2309.0,1.7,0,0,0.0,,,0.0,0.0
Maribyrnong,13818,maribyrnong,40427.0,1998.0,1.4,0,0,0.0,,,0.0,0.0
Meadow Heights,14960,meadow heights,4788.0,1274.0,2.0,0,0,0.0,,,0.0,0.0
Melbourne Airport,130,melbourne airport,32.0,1437.0,2.9,0,0,0.0,,,0.0,0.0
Melbourne Cbd (East),13697,melbourne cbd east,7427.0,1511.0,0.4,0,0,0.0,,,0.0,0.0
Melbourne Cbd (North),23579,melbourne cbd north,13175.0,1089.0,0.3,0,0,0.0,,,0.0,0.0
Melbourne Cbd (West),21528,melbourne cbd west,13401.0,1446.0,0.4,0,0,0.0,,,0.0,0.0
Melton,8046,melton,60338.0,1887.0,2.1,0,0,0.0,,,0.0,0.0
Melton South - Weir Views,21758,melton south weir views,6151.0,1363.0,1.7,0,0,0.0,,,0.0,0.0
Melton West,22691,melton west,7428.0,1621.0,2.0,0,0,0.0,,,0.0,0.0
Mentone,13987,mentone,6339.0,1889.0,1.6,0,0,0.0,,,0.0,0.0
Mernda (North),12038,mernda north,4167.0,1897.0,1.8,0,0,0.0,,,0.0,0.0
Mernda (South),13526,mernda south,3918.0,2109.0,2.0,0,0,0.0,,,0.0,0.0
Mickleham - Yuroke,35371,mickleham yuroke,7711.0,1982.0,2.1,0,0,0.0,,,0.0,0.0
Mill Park (North),17706,mill park north,6485.0,1798.0,2.1,0,0,0.0,,,0.0,0.0
Mill Park (South),11322,mill park south,4285.0,1647.0,2.0,0,0,0.0,,,0.0,0.0
Mitcham,17472,mitcham,27143.0,1996.0,2.0,0,0,0.0,,,0.0,0.0
Monbulk - Silvan,5834,monbulk silvan,2206.0,1872.0,2.5,0,0,0.0,,,0.0,0.0
Montmorency - Briar Hill,16957,montmorency briar hill,6822.0,2068.0,1.9,0,0,0.0,,,0.0,0.0
Montrose,6921,montrose,2516.0,2094.0,2.3,0,0,0.0,,,0.0,0.0
Moonee Ponds,17823,moonee ponds,8081.0,2111.0,1.4,1,1,1.0,-37.765935,144.9192614,5.610727711384166e-05,5.610727711384166e-05
Moorabbin Airport,26,moorabbin airport,6041.0,1934.5,1.8,0,0,0.0,,,0.0,0.0
Moorabbin - Heatherton,9708,moorabbin heatherton,3828.0,2046.0,1.8,0,0,0.0,,,0.0,0.0
Mooroolbark,24258,mooroolbark,8663.0,1992.0,2.1,0,0,0.0,,,0.0,0.0
Mordialloc - Parkdale,22229,mordialloc parkdale,9088.0,2090.0,1.8,0,0,0.0,,,0.0,0.0
Mornington (East),15111,mornington east,6226.0,1502.0,1.9,0,0,0.0,,,0.0,0.0
Mornington (West),10843,mornington west,5704.0,1389.0,1.7,0,0,0.0,,,0.0,0.0
Mount Dandenong - Olinda,9609,mount dandenong olinda,4056.0,2102.0,2.2,0,0,0.0,,,0.0,0.0
Mount Eliza,19009,mount eliza,6880.0,2547.0,2.3,0,0,0.0,,,0.0,0.0
Mount Evelyn,10032,mount evelyn,3570.0,2045.0,2.4,0,0,0.0,,,0.0,0.0
Mount Martha,20166,mount martha,8480.0,2097.0,2.1,0,0,0.0,,,0.0,0.0
Mount Waverley (North),17214,mount waverley north,6323.0,2049.0,1.9,0,0,0.0,,,0.0,0.0
Mount Waverley (South),20581,mount waverley south,7554.0,2079.0,1.9,0,0,0.0,,,0.0,0.0
Mulgrave,20981,mulgrave,24619.0,1647.0,1.9,0,0,0.0,,,0.0,0.0
Murrumbeena,10045,murrumbeena,4269.0,2089.0,1.6,0,0,0.0,,,0.0,0.0
Narre Warren North,8184,narre warren north,23767.0,1780.0,2.1,0,0,0.0,,,0.0,0.0
Narre Warren (North East),13643,narre warren north east,4636.0,1920.0,2.2,0,0,0.0,,,0.0,0.0
Narre Warren South (East),13030,narre warren south east,3906.0,2352.0,2.5,0,0,0.0,,,0.0,0.0
Narre Warren (South West),15452,narre warren south west,5483.0,1615.0,1.9,0,0,0.0,,,0.0,0.0
Narre Warren (South West),15452,narre warren south west,5007.0,2011.0,2.3,0,0,0.0,,,0.0,0.0
Narre Warren South (West),17141,narre warren south west,5483.0,1615.0,1.9,0,0,0.0,,,0.0,0.0
Narre Warren South (West),17141,narre warren south west,5007.0,2011.0,2.3,0,0,0.0,,,0.0,0.0
