Charger ID,Charger Name,Address,Suburb,State,Postal Code,Power (kW),Usage Cost,Number of Points,Connection Types,latitude,longitude,Normalized Name,reliability_score
MEL089,Club Trillium,11/19 Trillium Boulevard,mickleham,Victoria,3064,,,1,1,-37.5344793,144.9120372,club trillium,0
MEL090,bp pulse Dandenong North,Heatherton Rd & Stud Rd,dandenong north,Victoria,3802,75,55c/kWh,2,33,-37.9558319,145.2143234,bp pulse dandenong north,68.57142857
MEL091,Heatherton Road,Heatherton Road,dandenong,Victoria,3175,"350, 350",$0.60 / kWh,2,"33, 2",-37.98749,145.2147923,heatherton road,100
MEL092,Ampol Kilsyth,Canterbury & Gatwick Road,kilsyth south,Victoria,3153,"150, 125",$0.69/kWh for pay-as-you-go charging.,1,"33, 2",-37.8315054,145.3110008,ampol kilsyth,77.14285714
MEL093,Evie Chelsea,1 Swansea Rd,chelsea,Victoria,3196,"50, 50, 50, 50",$0.40 per kWh. Parking overstay charges may apply,1,"33, 2, 33, 2",-38.0497386,145.121407,evie chelsea,65.71428571
MEL094,Evie Chirnside Park,Fletcher Street,chirnside park,VIC,,"50, 50",,1,"33, 2",-37.9047634,144.6530424,evie chirnside park,65.71428571
MEL095,bp pulse Merrifield,470 Donnybrook Road,mickleham,Victoria,3064,"75, 75",55c/kWh,4,"33, 33",-37.5344793,144.9120372,bp pulse merrifield,68.57142857
MEL096,Marnong Estate,2335 Mickleham Road,mickleham,Victoria,3064,22,,4,25,-37.5344793,144.9120372,marnong estate,62.51428571
MEL097,Lollypop Creek Community Centre,Shipwright Parade,harpley,VIC,,50,,2,33,-37.9110402,144.6113082,lollypop creek community centre,65.71428571
MEL098,Hungry Jacks,27 Gap Road,sunbury,Victoria,3429,11,$0.25/kWh,2,25,-37.5791363,144.7279832,hungry jacks,61.25714286
MEL099,Cobblebank Village,201 Ferris Road,,Victoria,3338,"22, 22",Free,1,"2, 33",-37.8688729,145.2126338,cobblebank village,62.51428571
MEL100,Cobblebank Stadium,Cnr Astley Dr and Bridge Rd,cobblebank,Victoria,3338,"25, 25, 22",Free,3,"33, 2, 25",-37.7125512,144.6040773,cobblebank stadium,62.85714286
MEL101,Yarra Valley Nissan,460 - 462 Maroondah Highway,lilydale,Victoria,3140,11,$0.31 per kWh,2,25,-37.7571582,145.3458656,yarra valley nissan,61.25714286
MEL102,McDonald’s Melton South,179-253 Exford Road,weir views,Victoria,3338,"50, 50, 50, 50",$AU 0.40/kWh,2,"33, 2, 33, 2",-37.7323715,144.5708942,mcdonald’s melton south,65.71428571
MEL103,Local Village Carrum Downs,1066 Frankston - Dandenong Rd,carrum downs,VIC,3201,"50, 50, 50, 50",$0.45 per kWh. Parking overstay charges may apply,2,"33, 2, 33, 2",-38.1003312,145.1788657,local village carrum downs,65.71428571
MEL104,CTR Whittlesea,74A Church St,whittlesea,Vic,3757,"50, 50","0.40/kWh + While parked, not charging: 4.00/hr after 60 mins",1,"33, 2",-37.5121301,145.1177321,ctr whittlesea,65.71428571
MEL105,City of Casey,Princes Highway,city of casey,Victoria,3805,7,Free,2,25,-38.0266156,145.3045626,city of casey,0.8
MEL106,Lynbrook Village,75S Lynbrook Boulevard,lynbrook,Victoria,3975,"50, 50, 50, 50",$0.40 per kWh. Parking overstay charges may apply,2,"33, 2, 2, 33",-38.0558639,145.2561128,lynbrook village,65.71428571
MEL107,ENGIE - Bayside Centre,15 Beach Street,frankston,VIC,3199,50,AUD 0.45 per kWh,1,33,-38.150925,145.142239,engie - bayside centre,65.71428571
MEL108,Yarra Ranges Council,45 Bell St,yarra glen,Victoria,3775,"50, 50",Payment Required $0.40 per kWh (at all times),1,"33, 2",-37.6573475,145.3743964,yarra ranges council,65.71428571
MEL109,Engie Monash University,McMahons Road,melbourne,Victoria,3199,"120, 120",,3,"2, 33",-37.8142454,144.9631732,engie monash university,73.71428571
MEL110,Evie Cranbourne Homemaker Centre,South Gippsland Highway,cranbourne,Victoria,3977,"50, 50",,1,"33, 2",-38.0997308,145.2807256,evie cranbourne homemaker centre,65.71428571
MEL111,St Huberts Winery,1/3 St Huberts Road,coldstream,Victoria,3770,11,$0.31/kWh,6,25,-37.7291014,145.378424,st huberts winery,61.25714286
MEL112,BP Pulse Cranbourne,Cranbourne-Frankston Road,cranbourne west,Victoria,3977,"75, 75",$0.55/kWh,1,"33, 2",-38.102241,145.2517182,bp pulse cranbourne,68.57142857
MEL113,Jolt Berwick Springs Hotel,Clyde Road,berwick,VIC,,"50, 50",,1,"33, 2",-38.0398297,145.3451089,jolt berwick springs hotel,65.71428571
MEL114,Engie Cranbourne Park,Cranbourne Drive,,Victoria,3977,"120, 120",,3,"2, 33",-37.8688729,145.2126338,engie cranbourne park,73.71428571
MEL115,Wallan,85 High Street,wallan,Victoria,3756,"50, 50",,1,"33, 2",-37.5040691,145.1090152,wallan,65.71428571
MEL116,ClydeStone Square,Matterhorn Drive ,clyde north,VIC,3978,"50, 50",AUD 0.40 per kWh,1,"33, 2",-38.1028681,145.3302814,clydestone square,65.71428571
MEL117,Evie Mornington,Cromwell Street,mornington,Victoria,3931,"50, 50, 50",,2,"33, 2, 33",-38.227699,145.0609375,evie mornington,65.71428571
MEL118,Mornington Super Charger,Mornington-Tyabb Road,,Victoria,3931,250,,6,33,-37.8688729,145.2126338,mornington super charger,88.57142857
MEL119,RACV Healsville,Healsville - Yarra Glen Road,healsville,VIC,,"7, 50",,7,"25, 33",-37.6635261,145.4817549,racv healsville,
MEL120,Evie Healsville,River Street,healsville,VIC,,"50, 50",,1,"33, 2",-37.6635261,145.4817549,evie healsville,
MEL121,North Bellarine Aquatic Centre,30 Peninsula Drive,curlewis,Victoria,3222,"50, 50, 50, 50",$0.45/kWh,2,"33, 2, 33, 2",-37.8148997,145.1062282,north bellarine aquatic centre,
MEL122,Victoria Street,Victoria Street,macedon,Victoria,3440,"50, 50",$0.45 per kWh,1,"33, 2",-37.7726251,145.1131159,victoria street,
MEL123,50 Learmonth Street,50 Learmonth Street,queenscliff,Victoria,3225,"50, 50, 50, 50",$0.45 per kWh,2,"33, 2, 33, 2",-38.3363033,144.7453366,50 learmonth street,
MEL124,Evie Yarra Juncion,Park Road,yarra junction,VIC,,"50, 50",,1,"33, 2",-37.7821693,145.6150255,evie yarra juncion,
MEL125,Kilmore Library,12 Sydney Street,kilmore,Victoria,3764,"25, 25",$0.40 per kWh,1,"33, 2",-37.6750485,144.9242188,kilmore library,
MEL126,Geelong Supercharger,470-510 Princes Highway,corio,Victoria,3214,250,$0.78/kWh,6,33,-37.9623312,145.1346687,geelong supercharger,
MEL127,Hastings,34 King Street,hastings,Victoria,3915,"50, 50",Payment Required $0.45 per kWh,1,"33, 2",-38.3056058,145.1859934,hastings,
MEL128,Kingston Village Square,Grubb Rd,ocean grove,Victoria,3226,"50, 50, 22",Payment Required $0.25 per kWh (at all times),3,"33, 2, 25",-38.170954,145.0972517,kingston village square,
MEL129,Sorrento ,860 Melbourne Rd,,Victoria,3943,"50, 50, 50, 50","0.40/kWh + While parked, not charging: 4.00/hr after 60 mins",2,"33, 2, 33, 33",-37.8688729,145.2126338,sorrento,
MEL130,Rosebud RSL,2 Dunsmuir Drive,,Victoria,3940,"None, 50, None",,2,"0, 2, 1",-37.8688729,145.2126338,rosebud rsl,
MEL131,bp pulse Rye,Cnr Weir St & Point Nepean Road,rye,Victoria,3941,75,55c/kWh,2,33,-38.3821684,144.8099264,bp pulse rye,
MEL132,High St Parking,124 High Street,woodend,Victoria,3442,"50, 50",$0.40 per kWh. Parking overstay charges may apply,2,"33, 2",-37.7934621,144.5595902,high st parking,
MEL133,Geelong West Veledrome,Weddell Road,geelong west,VIC,,22,,2,25,-37.8054508,144.879879,geelong west veledrome,
MEL134,Bru4U Geelong ,4/100 Barwon Terrace,geelong,Victoria,3220,22,free,1,1036,-37.8396934,145.008539,bru4u geelong,
MEL135,Broadford Library,113 High Street,broadford,Victoria,3658,"25, 25",$0.40 per kWh,1,"33, 2",-37.6362329,145.0265708,broadford library,
MEL136,RACV Solar Grovedale,8 Lewalan Street,grovedale,Victoria,3216,22,$0.25 per kWh,1,25,-37.8171289,145.0949242,racv solar grovedale,
MEL137,Blue Tongue Industries,8 Lewalan St,grovedale,Victoria,3216,22,$0.30 per kWh,1,25,-37.8171289,145.0949242,blue tongue industries,
MEL138,Evie Barabool Heights Plaza,Province Blvd,highton,VIC,,"50, 50",,4,"33, 2",-37.8163364,145.0687942,evie barabool heights plaza,
MEL139,Armstrong Creek East Community Hub,46 Central Boulevard,armstrong creek,Victoria,3217,"22, 22, 22",Free,6,"25, 25, 25",-37.6289691,145.8640385,armstrong creek east community hub,
MEL140,Leisurelink Aquatic & Recreation Centre,240 Pioneer Rd,waurn ponds,VIC,3216,"50, 50, 50, 50",$0.45 per kWh,2,"33, 2, 33, 2",,,leisurelink aquatic & recreation centre,
MEL141,Armstrong Creek Shopping Centre,540 Torquay Rd,armstrong creek,Victoria,3216,7,Free,2,25,-37.6289691,145.8640385,armstrong creek shopping centre,
MEL142,Deakin University Waurn Ponds,Carpark 1 Kings Way,,Victoria,3216,"22, 22",Free,4,"25, 25",-37.8688729,145.2126338,deakin university waurn ponds,
MEL143,Trentham Visitor Information Centre,Albert Street,trentham,Vic,,"50, 50",,2,"33, 2",-37.7000743,144.8908894,trentham visitor information centre,
MEL144,Evie Flinders,33 Cook St,flinders,VIC,3929,"50, 50",$0.45 per kWh,1,"33, 2",-38.473312,145.0187057,evie flinders,
MEL145,Evie Bannockburn,High Street,bannockburn,VIC,,"50, 50",,1,"33, 2",-37.732231,145.1014989,evie bannockburn,
MEL146,Evie Cowes,Chapel Street,cowes,Vic,,"50, 50",,4,"33, 2",-37.7092585,144.7872516,evie cowes,
