name,address,latitude,longitude,score,geometry
Evie,"1 Old Waratah Road, Fish Creek, VIC, 3959",-38.693964,146.083134,1.0376195908,POINT (146.083134 -38.693964)
Tesla,"32 Rodgers Street, Yarram, VIC, 3971",-38.56076,146.673956,1.0255633593,POINT (146.673956 -38.56076)
ChargeFox,"156 Grant Street, Yarram, VIC, 3971",-38.564468,146.674271,1.0255386829,POINT (146.674271 -38.564468)
ChargeFox,"2 Millar Road, Yanakie, VIC, 3960",-38.811232,146.204967,1.0251301527,POINT (146.204967 -38.811232)
Saascharge,"17-19 Ocean View Parade, Sandy Point, VIC, 3959",-38.82929,146.125029,1.0249881744,POINT (146.125029 -38.82929)
Evie,"63 Chapel Street, Cowes, VIC, 3922",-38.450496,145.240409,1.0238363743,POINT (145.240409 -38.450496)
Tesla,"65 Chapel Street, Cowes, VIC, 3922",-38.450455,145.240168,1.0238349438,POINT (145.240168 -38.450455)
EVUp,"83 Thompson Avenue, Cowes, VIC, 3922",-38.451356,145.240297,1.0238333941,POINT (145.240297 -38.451356)
Tesla,"2128 Phillip Island Road, Cowes, VIC, 3922",-38.47278,145.239172,1.02376616,POINT (145.239172 -38.47278)
ChargeFox,"164 Church Street, Cowes, VIC, 3922",-38.452042,145.227858,1.0237512589,POINT (145.227858 -38.452042)
ChargeFox,"5 Wolseley Street, Orbost, VIC, 3888",-37.705755,148.456094,1.0233714581,POINT (148.456094 -37.705755)
ChargeFox,"1 Mill Point Road, Toorloo Arm, VIC, 3909",-37.852464,148.051349,1.0227898359,POINT (148.051349 -37.852464)
Tesla,"60 Myer Street, Lakes Entrance, VIC, 3909",-37.875725,147.99588,1.0226037502,POINT (147.99588 -37.875725)
ChargeFox,"12 Mechanics Street, Lakes Entrance, VIC, 3909",-37.880376,147.985755,1.0225651264,POINT (147.985755 -37.880376)
Tesla,"321 Esplanade, Lakes Entrance, VIC, 3909",-37.881073,147.984947,1.0225594044,POINT (147.984947 -37.881073)
Evie,"2 Marine Parade, Lakes Entrance, VIC, 3909",-37.882083,147.973414,1.0225479603,POINT (147.973414 -37.882083)
Tesla,"19 Argyle Parade, Marlo, VIC, 3888",-37.796711,148.53042,1.0225083828,POINT (148.53042 -37.796711)
ChargeFox,"Ward St, Cann River, VIC, 3890",-37.565067,149.151887,1.0213186741,POINT (149.151887 -37.565067)
Tesla,"261 Gipsy Point Road, Gipsy Point, VIC, 3891",-37.47861,149.681589,1.0192511082,POINT (149.681589 -37.47861)
Exploren,"440 Princes Highway, Eden, NSW, 2551",-37.077941,149.87513,1.0188859701,POINT (149.87513 -37.077941)
ChargeFox,"6 Greer Street, Mallacoota, VIC, 3892",-37.557995,149.758334,1.0182317495,POINT (149.758334 -37.557995)
Exploren,"2-110 Ben Boyd Parade, Boydtown, NSW, 2551",-37.111463,149.880207,1.0221686363,POINT (149.880207 -37.111463)
Tesla,"1 Pambula Beach Road, Pambula Beach, NSW, 2549",-36.940243,149.907265,1.021504879,POINT (149.907265 -36.940243)
Tesla,"Market St, Merimbula, NSW, 2548",-36.892784,149.909089,1.021330595,POINT (149.909089 -36.892784)
Tesla,"1 Elizabeth Street, Merimbula, NSW, 2548",-36.895306,149.911881,1.0213266611,POINT (149.911881 -36.895306)
EVUp,"Kowara Cres, Merimbula, NSW, 2548",-36.884144,149.903294,1.0213263035,POINT (149.903294 -36.884144)
EVUp,"29 Sapphire Coast Drive, Merimbula, NSW, 2548",-36.884262,149.904548,1.0213209391,POINT (149.904548 -36.884262)
Saascharge,"18 Merimbula Drive, Merimbula, NSW, 2548",-36.888122,149.908451,1.0213168859,POINT (149.908451 -36.888122)
Tesla,"115-127 Main St, Merimbula, NSW, 2548",-36.885711,149.90704,1.0213147402,POINT (149.90704 -36.885711)
ChargeFox,"3 Corkhill Place, Bega, NSW, 2550",-36.697259,149.841863,1.0208417177,POINT (149.841863 -36.697259)
Exploren,"48 Upper Street, Bega, NSW, 2550",-36.677369,149.845395,1.0207430124,POINT (149.845395 -36.677369)
NRMA,"Gipps St, Bega, NSW, 2550",-36.673247,149.843047,1.0207340717,POINT (149.843047 -36.673247)
Exploren,"17 John Taylor Crescent, Tathra, NSW, 2550",-36.726284,149.97901,1.0204231739,POINT (149.97901 -36.726284)
ChargePoint,"Andy Poole Dr, Tathra, NSW, 2550",-36.727001,149.981588,1.0204156637,POINT (149.981588 -36.727001)
ChargePoint,"2 Andy Poole Drive, Tathra, NSW, 2550",-36.722539,149.977376,1.0204156637,POINT (149.977376 -36.722539)
ChargeFox,"8-12 Bega Street, Tathra, NSW, 2550",-36.727827,149.988506,1.0203917027,POINT (149.988506 -36.727827)
ChargeFox,"54 Princes Highway, Cobargo, NSW, 2550",-36.38713,149.887911,1.0193706751,POINT (149.887911 -36.38713)
Tesla,"2 West Street, Bermagui, NSW, 2546",-36.425913,150.063471,1.0190242529,POINT (150.063471 -36.425913)
ChargeFox,"73-79 Lamont Street, Bermagui, NSW, 2546",-36.426725,150.070679,1.0190062523,POINT (150.070679 -36.426725)
Tesla,"185 Princes Highway, Narooma, NSW, 2546",-36.223136,150.128346,1.0181423426,POINT (150.128346 -36.223136)
Tesla,"5 Tilba Street, Narooma, NSW, 2546",-36.219662,150.13339,1.0181187391,POINT (150.13339 -36.219662)
Exploren,"1 Ballingalla Street, Narooma, NSW, 2546",-36.218532,150.13877,1.0181022882,POINT (150.13877 -36.218532)
ChargePoint,"147 Princes Highway, Bodalla, NSW, 2545",-36.095825,150.051763,1.0178765059,POINT (150.051763 -36.095825)
Tesla,"52 Princes Highway, Bodalla, NSW, 2545",-36.086831,150.049523,1.0178501606,POINT (150.049523 -36.086831)
ChargePoint,"26 Canterbury Road, Melbourne, VIC, 3195",-38.010174,145.110226,1.0596809387,POINT (145.110226 -38.010174)
Evie,"Beach Rd, Melbourne, VIC, 3195",-38.008354,145.084851,1.0556123257,POINT (145.084851 -38.008354)
Saascharge,"29 Grange Road, Melbourne, VIC, 3192",-37.973632,145.085796,1.0466874838,POINT (145.085796 -37.973632)
