Charger Name,Suburb,State_clean,Postal_clean,Power_clean,Usage_Cost_clean,Number_of_Points_clean,Connection_Types_count,latitude,longitude
Newling Reserve,,VIC,3240.0,7.0,,1,1,-37.8688729,145.2126338
Wine by Sam,seymour,VIC,3660.0,25.0,0.4,1,2,-38.0021533,145.0974829
Daylesford Town Hall,daylesford,VIC,3460.0,25.0,0.35,1,2,-37.627671,145.0254821
Hepburn Springs Bathhouse,hepburn springs,VIC,3461.0,50.0,0.45,2,2,-37.7481414,144.739508
Evie Warrigul,warragul,VIC,3820.0,50.0,,1,2,-37.6694522,144.9350241
Evie Alexandra,alexandra,VIC,3714.0,50.0,0.45,1,2,-37.8212422,144.9736634
Dindi Naturals,yarck,VIC,3719.0,7.0,,1,1,-37.5772947,144.7161349
RACV Ballarat,ballarat,VIC,3350.0,350.0,,4,1,-37.8050281,144.9457629
Heathcote Visitor Centre,heathcote,VIC,3523.0,50.0,0.5,1,2,-37.7326399,144.733868
Coles Sebastopol,sebastopol,VIC,,22.0,,2,1,-37.8709314,145.0193037
Evie Caltex Jones Street,avenel,VIC,3664.0,350.0,,1,2,-37.8958126,144.6304628
Creswick Vicitors Information Centre,creswick,VIC,3363.0,50.0,0.45,1,2,-37.8191777,145.0167539
Gillies Street North,ballarat,CITY OF BALLARAT,3355.0,6.6,,2,1,-37.8050281,144.9457629
Ballarat Supercharger,ballarat,VIC,3355.0,120.0,0.42,6,1,-37.8050281,144.9457629
Castlemaine Market Building Car Park,castlemaine,VIC,3450.0,50.0,0.4,2,2,-37.6303914,145.0273223
High Street,harcourt,VIC,3453.0,25.0,0.4,1,2,-37.8374349,145.1115353
CTR Leongatha,leongatha,VIC,3953.0,50.0,,1,2,-38.1199326,145.3182716
Evie Leongatha,leongatha,VIC,3953.0,50.0,,1,2,-38.1199326,145.3182716
Lorne Visitor Information Centre,lorne,VIC,3232.0,7.0,,1,1,-37.6734151,145.0272333
Chargefox Moe,moe,VIC,3825.0,350.0,40.0,4,5,-37.6132253,145.0980154
Bendigo Supercharger,bendigo,VIC,3550.0,120.0,0.42,6,1,-37.720574,145.047976
Euroa Supercharger,euroa,VIC,,120.0,0.42,6,1,-37.7639651,144.8287004
Chargefox - Euroa,euroa,VIC,3666.0,350.0,,4,8,-37.7639651,144.8287004
Bendigo Art Gallery,bendigo,VIC,3550.0,50.0,0.4,2,4,-37.720574,145.047976
Colac Supercharger,colac,VIC,3250.0,250.0,0.78,3,1,-38.0761008,145.1472438
CTR Maryborough,maryborough,VIC,3465.0,50.0,0.4,2,2,-37.850401,144.5882783
NRMA Marong,marong,VIC,3515.0,180.0,66.0,4,2,-37.793821,144.5506713
CTR Foster,foster,VIC,,50.0,,2,1,-37.5902461,144.9342136
Charging the Regions Traralgon,,VIC,3844.0,50.0,0.45,1,2,-37.8688729,145.2126338
Evie Beaufort,beaufort,VIC,3373.0,50.0,0.45,4,3,-38.0067519,145.1779706
Newbridge Public Hall,newbridge,VIC,3551.0,25.0,0.4,1,2,-37.9715559,145.124582
Evie Avoca,avoca,VIC,,50.0,,2,1,-37.6146532,145.0933095
Tatura,tatura,VIC,3616.0,25.0,0.4,2,2,-38.1379689,145.1628252
Heyfield Apex Park,heyfield,VIC,3858.0,50.0,0.4,2,1,-37.8237397,144.7132186
CTR Mooroopna,mooroopna,VIC,3629.0,50.0,0.4,2,2,-37.7852115,144.5605697
Shepparton Observation Tower,shepparton,VIC,3630.0,50.0,0.4,2,2,-37.7884948,144.5582739
Evie Camperdown,camperdown,VIC,3260.0,50.0,0.45,1,2,-37.764834,144.8219857
Evie Benalla,benalla,VIC,3672.0,50.0,,1,2,-37.8059585,144.9432551
Inglewood Town Hall,inglewood,VIC,3517.0,50.0,0.4,1,2,-37.7924237,144.5498933
Chargefox Yarram,yarram,VIC,3971.0,50.0,0.4,1,2,-38.1353489,145.1666795
Evie Maffra,maffra,VIC,3860.0,50.0,0.45,1,2,-37.6601922,144.9408062
Port of Sale,sale,VIC,3850.0,50.0,0.4,2,2,-37.87076,145.65249
Mansi on Raymond,sale,VIC,3850.0,22.0,0.4,1,1,-37.87076,145.65249
Queen Street,,VIC,3377.0,22.0,,1,1,-37.8688729,145.2126338
CTR Echuca [Evie],echuca,VIC,3564.0,50.0,0.4,1,4,-37.7821653,144.5503709
Elizabeth Park,ararat,VIC,3397.0,22.8,0.0,2,1,-38.0625563,145.5506248
Evie Ararat,ararat,VIC,3377.0,50.0,,1,2,-38.0625563,145.5506248
NRMA Ararat,ararat,VIC,3377.0,150.0,66.0,4,2,-38.0625563,145.5506248
CTR Wedderburn CV008,wedderburn,VIC,3518.0,50.0,0.4,2,2,-37.7917062,144.5494853
Evie St Arnaud,st arnaud,VIC,,50.0,,2,2,-37.792199,144.5486025
Evie Wangaratta,wangaratta,VIC,3676.0,50.0,0.45,1,2,-37.787905,144.5592084
Ovens Supercharger,ovens,VIC,,120.0,0.42,4,1,-37.8119107,144.8154073
Evie Stawell,stawell,VIC,3380.0,50.0,,1,2,-38.1087492,145.2895959
Tesla Superchargers Stawell,stawell,VIC,3380.0,250.0,0.66,12,1,-38.1087492,145.2895959
Feathertop Winery,porepunkah,VIC,,22.0,,2,1,-37.5979507,145.0753657
Evie - Bright,bright,VIC,3741.0,50.0,0.45,1,2,-37.6245646,145.0136597
Evie Yarrawonga,yarrawonga,VIC,3730.0,50.0,0.45,1,2,-37.9133914,145.1301259
The Sebel Silverwoods Yarrawong,yarrawonga,VIC,3730.0,50.0,0.3,1,2,-37.9133914,145.1301259
Evie Dunkeld,dunkeld,VIC,3294.0,50.0,0.45,1,2,-37.766817,144.8245105
Evie Cohuna,cohuna,VIC,3568.0,50.0,0.4,1,2,-37.7062908,144.8039161
Omeo - Tongio Road,omeo,VIC,3898.0,50.0,0.4,2,2,-37.8800365,144.6170498
Wycheproof,wycheproof,VIC,3527.0,50.0,0.4,2,2,-37.5432106,145.0085889
NRMA Wycheproof,wycheproof,VIC,3527.0,150.0,66.0,4,2,-37.5432106,145.0085889
Evie Kerang,kerang,VIC,3579.0,50.0,0.4,1,2,-37.7200123,145.0271063
Wodonga Supercharger,wodonga,VIC,3690.0,120.0,0.42,6,1,-37.6755673,144.9898056
Evie Hamilton,hamilton,VIC,,50.0,,2,2,-37.8758579,145.1284529
Tesla Supercharger Albury,albury,NSW,2640.0,250.0,0.69,12,1,-37.5442344,145.0076408
Wuality Resort Siesta,lavington,NSW,2641.0,7.0,,4,4,-37.603329,144.9253134
RACV - Horsham,horsham,VIC,3400.0,350.0,,4,4,-38.102184,145.2949057
Horsham Supercharger,horsham,VIC,3400.0,250.0,0.42,3,1,-38.102184,145.2949057
NRMA Jerilderie,jerilderie,NSW,2716.0,50.0,,1,2,-38.0097571,145.326648
Evie Warracknabeal,warracknabeal,VIC,3393.0,50.0,0.45,1,2,-37.7853138,144.5406661
Evie Portland,portland,VIC,,50.0,,2,2,-37.9359053,145.2051222
Lochiel Street,dimboola,VIC,3414.0,22.0,,1,1,-37.6804576,144.9123982
Orbost Chargefox,orbost,VIC,,50.0,0.4,1,2,-37.8379885,145.2121845
Tesla Supercharger Holbrook,holbrook,NSW,2644.0,250.0,0.69,1,1,-37.7702694,144.9361781
Holbrook [NRMA],holbrook,NSW,,50.0,,1,2,-37.7702694,144.9361781
Evie Dartmoor,dartmoor,VIC,3304.0,50.0,0.45,1,2,-37.705345,144.6794568
Anzac Ave Parking,edenhope,VIC,3318.0,50.0,0.4,1,2,-37.8054372,145.3280915
Nelson St Parking/Charging,nhill,VIC,3418.0,22.0,,2,1,-37.6730847,144.9282577
Snowy River Ave Car Park,jindabyne,NSW,2627.0,50.0,,2,2,-37.6403391,145.084278
