station_code,station_name,latitude,longitude,elevation_m,date,precipitation_mm,temp_avg_c,temp_max_c,temp_min_c
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-06-15,0.0,10.6,12.9,8.6
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-06-16,0.2,11.3,14.0,8.1
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-06-17,9.2,9.7,13.5,9.5
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-06-18,0.0,8.7,16.0,5.6
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-06-19,0.0,11.4,14.1,2.8
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-06-20,0.0,12.9,17.0,7.8
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-06-21,2.2,10.3,15.0,9.0
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-06-22,0.4,11.9,15.3,6.4
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-06-23,0.0,13.3,15.6,9.2
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-06-24,1.2,11.3,15.7,10.6
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-06-25,0.0,11.6,15.2,7.2
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-06-26,0.0,7.9,13.2,8.4
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-06-27,2.0,7.7,12.6,4.4
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-06-28,0.0,8.7,12.9,4.2
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-06-29,0.0,7.4,9.9,5.3
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-06-30,0.0,8.4,14.3,2.1
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-07-01,0.0,8.6,11.7,4.2
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-07-02,0.0,7.3,11.9,5.1
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-07-03,0.0,7.9,12.1,3.8
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-07-04,0.0,9.8,12.7,3.2
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-07-05,0.4,6.9,13.6,6.7
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-07-06,0.2,9.4,16.9,-0.5
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-07-07,0.0,10.2,14.1,3.2
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-07-08,0.6,8.3,11.7,7.5
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-07-09,12.6,8.1,12.7,5.9
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-07-10,0.2,9.3,15.6,2.3
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-07-11,0.0,9.1,13.4,4.5
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-07-12,1.8,7.4,10.1,5.1
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-07-13,4.2,8.1,12.4,4.6
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-07-14,1.0,9.1,11.7,4.7
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-07-15,0.0,10.1,14.3,5.9
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-07-16,0.0,9.8,12.5,7.3
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-07-17,0.0,8.4,16.7,7.3
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-07-18,0.4,6.4,10.6,4.3
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-07-19,2.0,4.3,11.1,2.5
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-07-20,0.2,5.3,12.4,-1.5
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-07-21,0.0,8.3,15.5,-0.2
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-07-22,0.0,11.9,17.6,1.5
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-07-23,0.2,11.5,13.4,5.8
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-07-24,6.0,11.9,17.4,9.7
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-07-25,0.0,10.4,13.9,6.9
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-07-26,4.6,9.6,12.3,6.0
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-07-27,1.8,11.3,15.6,6.6
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-07-28,0.8,7.9,13.2,6.6
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-07-29,1.2,5.7,12.3,4.2
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-07-30,0.0,9.4,12.5,-1.1
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-07-31,0.0,9.9,13.9,5.8
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-08-01,0.0,10.9,14.8,6.6
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-08-02,0.2,12.2,16.0,6.6
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-08-03,2.6,15.2,18.1,9.1
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-08-04,1.8,13.7,17.9,11.1
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-08-05,0.0,9.8,14.2,11.0
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-08-06,0.0,9.9,13.8,5.6
